epoch,d_loss,g_loss,failed_nan
1,-9.117645977093623,-2.621837904590827,False
2,-4.261903621600225,-6.718710347322317,False
3,-3.3671922711225655,-8.553932923537035,False
4,-3.3583914820964518,-9.190421374027546,False
5,-3.4754305261832017,-9.115937210963322,False
6,-3.5360074538450976,-8.082499085939848,False
7,-3.5642463042185857,-6.835462623376113,False
8,-3.551664901696719,-5.498107847800622,False
