threshold,recall,fpr
0.9761623740196228,5.3873505010235965e-05,0.0
0.8758032917976379,0.034694537226591965,0.0
0.8758012652397156,0.034802284236612434,0.0
0.7351596355438232,0.15310850123909062,0.0
0.7351056337356567,0.15310850123909062,3.9471087428458653e-05
0.7265650033950806,0.15343174226915204,3.9471087428458653e-05
0.7221402525901794,0.15343174226915204,7.894217485691731e-05
0.7212576866149902,0.15348561577416225,7.894217485691731e-05
0.7137552499771118,0.15348561577416225,0.00015788434971383461
0.7123339176177979,0.15359336278418273,0.00015788434971383461
0.7046194076538086,0.15359336278418273,0.00023682652457075192
0.6772306561470032,0.15434759185432603,0.00023682652457075192
0.6759185791015625,0.15434759185432603,0.0002762976119992106
0.6750732660293579,0.15440146535933627,0.0002762976119992106
0.6750497221946716,0.15440146535933627,0.00031576869942766923
0.6687253713607788,0.15483245339941817,0.00031576869942766923
0.6683498620986938,0.15483245339941817,0.00039471087428458656
0.6662748456001282,0.15585604999461264,0.00039471087428458656
0.666222870349884,0.15585604999461264,0.0004341819617130452
0.6646730899810791,0.15811873720504255,0.0004341819617130452
0.6646672487258911,0.15822648421506302,0.0004341819617130452
0.6603188514709473,0.19340588298674713,0.0004341819617130452
0.6603148579597473,0.19356750350177782,0.0004341819617130452
0.6601539850234985,0.1959379377222282,0.0004341819617130452
0.6601459383964539,0.19604568473224868,0.0004341819617130452
0.6601306200027466,0.19626117875228963,0.0004341819617130452
0.6601271629333496,0.1963689257623101,0.0004341819617130452
0.6593548059463501,0.20725137377437777,0.0004341819617130452
0.6593462824821472,0.20735912078439822,0.0004341819617130452
0.6592397689819336,0.20929856696476673,0.0004341819617130452
0.6592344045639038,0.2094063139747872,0.0004341819617130452
0.6588315367698669,0.21592500808102574,0.0004341819617130452
0.658829927444458,0.21603275509104622,0.0004341819617130452
0.6568324565887451,0.24539381532162483,0.0004341819617130452
0.656831681728363,0.2455015623316453,0.0004341819617130452
0.6560879945755005,0.2537442085982114,0.0004341819617130452
0.6560834050178528,0.2537442085982114,0.00047365304914150384
0.6558606624603271,0.2563301368387027,0.00047365304914150384
0.6558583974838257,0.2563301368387027,0.0005131241365699625
0.6557855010032654,0.2571921129188665,0.0005131241365699625
0.6557811498641968,0.257299859928887,0.0005131241365699625
0.6552315354347229,0.26279495743993103,0.0005131241365699625
0.6552213430404663,0.2629027044499515,0.0005131241365699625
0.6546699404716492,0.2680745609309342,0.0005131241365699625
0.6546686887741089,0.26818230794095466,0.0005131241365699625
0.6546628475189209,0.2682361814459649,0.0005131241365699625
0.6546499133110046,0.26834392845598537,0.0005131241365699625
0.6542484164237976,0.27119922422152787,0.0005131241365699625
0.6542401313781738,0.27130697123154834,0.0005131241365699625
0.6539772152900696,0.2733541644219373,0.0005131241365699625
0.6539731025695801,0.27346191143195775,0.0005131241365699625
0.6528266668319702,0.28208167223359554,0.0005131241365699625
0.6528133153915405,0.282189419243616,0.0005131241365699625
0.6516032218933105,0.29215601767050964,0.0005131241365699625
0.6515960693359375,0.2922637646805301,0.0005131241365699625
0.6513307690620422,0.29490356642603166,0.0005131241365699625
0.6513181328773499,0.29501131343605214,0.0005131241365699625
0.6497319936752319,0.3096110332938261,0.0005131241365699625
0.649715781211853,0.3097187803038466,0.0005131241365699625
0.648719310760498,0.3202779872858528,0.0005131241365699625
0.6487181186676025,0.3203857342958733,0.0005131241365699625
0.6476336121559143,0.32808964551233705,0.0005131241365699625
0.6476229429244995,0.3281973925223575,0.0005131241365699625
0.6449956893920898,0.3469453722659196,0.0005131241365699625
0.6449881792068481,0.34705311927594007,0.0005131241365699625
0.6448057889938354,0.3482383363861653,0.0005131241365699625
0.6448038220405579,0.3483460833961858,0.0005131241365699625
0.6447057723999023,0.3487770714362676,0.0005131241365699625
0.6446972489356995,0.3487770714362676,0.0005525952239984212
0.6440428495407104,0.35265596379700465,0.0005525952239984212
0.6440251469612122,0.35265596379700465,0.0005920663114268798
0.6431629657745361,0.3572352117228747,0.0005920663114268798
0.643156886100769,0.3573429587328952,0.0005920663114268798
0.6425703763961792,0.359821139963366,0.0005920663114268798
0.6425697803497314,0.359821139963366,0.0006315373988553385
0.6397651433944702,0.3704342204503825,0.0006315373988553385
0.6397260427474976,0.3704342204503825,0.0006710084862837971
0.6388989686965942,0.3736127572459864,0.0006710084862837971
0.6388982534408569,0.3736127572459864,0.0007104795737122557
0.6367582082748413,0.3797004633121431,0.0007104795737122557
0.6367460489273071,0.37980821032216355,0.0007104795737122557
0.6343777775764465,0.38460295226807456,0.0007104795737122557
0.6343361139297485,0.38471069927809504,0.0007104795737122557
0.6267983317375183,0.3948927917250296,0.0007104795737122557
0.6266890168190002,0.3948927917250296,0.0007499506611407144
0.6190290451049805,0.40092662428617604,0.0007499506611407144
0.6189988255500793,0.40092662428617604,0.0007894217485691731
0.6173505783081055,0.40162697985130913,0.0007894217485691731
0.6173454523086548,0.40162697985130913,0.0008288928359976317
0.6126126050949097,0.40421290809180044,0.0008288928359976317
0.6126033067703247,0.40421290809180044,0.0008683639234260904
0.6111119985580444,0.405021010666954,0.0008683639234260904
0.6110666990280151,0.405021010666954,0.0009078350108545491
0.604123592376709,0.40706820385734294,0.0009078350108545491
0.6039361953735352,0.40706820385734294,0.0009867771857114663
0.6004256010055542,0.40776855942247603,0.0009867771857114663
0.6001220941543579,0.40776855942247603,0.001026248273139925
0.5985125303268433,0.40809180045253746,0.001026248273139925
0.5980055332183838,0.40809180045253746,0.0010657193605683837
0.5959504842758179,0.40857666199762954,0.0010657193605683837
0.595832347869873,0.40857666199762954,0.0011051904479968423
0.5941829681396484,0.40889990302769097,0.0011051904479968423
0.5941452980041504,0.40889990302769097,0.001144661535425301
0.5940831303596497,0.4089537765327012,0.001144661535425301
0.5939445495605469,0.4089537765327012,0.0011841326228537595
0.5938217639923096,0.40900765003771145,0.0011841326228537595
0.593404233455658,0.40900765003771145,0.0012236037102822182
0.5917222499847412,0.40943863807779335,0.0012236037102822182
0.5912961363792419,0.40943863807779335,0.001263074797710677
0.5898017883300781,0.4097618791078548,0.001263074797710677
0.5896515250205994,0.4097618791078548,0.0013025458851391356
0.5858569145202637,0.41035448766296734,0.0013025458851391356
0.5856816172599792,0.41035448766296734,0.0013420169725675943
0.5828135013580322,0.41105484322810043,0.0013420169725675943
0.5822678804397583,0.41105484322810043,0.001381488059996053
0.5804938077926636,0.4113242107531516,0.001381488059996053
0.5800603628158569,0.4113242107531516,0.0014209591474245115
0.5795988440513611,0.41148583126818233,0.0014209591474245115
0.5783012509346008,0.41148583126818233,0.0014999013222814289
0.5747441649436951,0.4119168193082642,0.0014999013222814289
0.5746903419494629,0.4119168193082642,0.0015393724097098876
0.5741592645645142,0.41202456631828466,0.0015393724097098876
0.5737391710281372,0.41202456631828466,0.0015788434971383462
0.5732772350311279,0.4120784398232949,0.0015788434971383462
0.5728327035903931,0.4120784398232949,0.0016183145845668047
0.5720120072364807,0.4122400603383256,0.0016183145845668047
0.5712648034095764,0.4122400603383256,0.0016972567594237221
0.5670763850212097,0.41288654239844846,0.0016972567594237221
0.5669102072715759,0.41288654239844846,0.0017367278468521808
0.5644819140434265,0.41320978342850984,0.0017367278468521808
0.5641704201698303,0.41320978342850984,0.0017761989342806395
0.5628706812858582,0.413479150953561,0.0017761989342806395
0.5606960654258728,0.413479150953561,0.0018946121965660154
0.5569705963134766,0.4138562654886327,0.0018946121965660154
0.5567232370376587,0.4138562654886327,0.001934083283994474
0.554617702960968,0.4142872535287146,0.001934083283994474
0.5545752644538879,0.4142872535287146,0.0019735543714229325
0.5532904863357544,0.414610494558776,0.0019735543714229325
0.5531293749809265,0.414610494558776,0.0020130254588513912
0.5491543412208557,0.4162805732140933,0.0020130254588513912
0.5491492748260498,0.4162805732140933,0.00205249654627985
0.5483285188674927,0.4169809287792264,0.00205249654627985
0.5482484102249146,0.4169809287792264,0.0020919676337083086
0.5466954708099365,0.4187587544445642,0.0020919676337083086
0.5466631650924683,0.4187587544445642,0.0021314387211367673
0.5465056896209717,0.4190819954746256,0.0021314387211367673
0.5464843511581421,0.4190819954746256,0.002170909808565226
0.5462296605110168,0.41924361598965626,0.002170909808565226
0.5462279319763184,0.41924361598965626,0.0022103808959936847
0.5455260276794434,0.41994397155478935,0.0022103808959936847
0.5454418659210205,0.41994397155478935,0.0022498519834221434
0.544675350189209,0.4210753151600043,0.0022498519834221434
