k,n_windows,original_mean_fused_score,ig_masked_mean_score,ig_mean_score_drop,random_masked_mean_score,random_mean_score_drop,delta_drop,ig_beats_random_fraction,random_repeats,ig_target
5,64,0.5171532053500414,0.44293029117397964,0.07422291417606175,0.48902414841577413,0.028129056934267288,0.04609385724179446,0.765625,5,fused_tad_score
10,64,0.5171532053500414,0.44294035667553544,0.07421284867450595,0.493805912300013,0.023347293050028386,0.05086555562447756,0.84375,5,fused_tad_score
20,64,0.5171532053500414,0.42211211938411,0.09504108596593142,0.4902833070140332,0.026869898336008186,0.06817118762992323,0.90625,5,fused_tad_score
