seed,run_id,alpha,threshold,auc,ap,precision,recall,f1,test_benign_fpr,tp,fp,tn,fn,recall_family_Bot,recall_family_DDoS,recall_family_PortScan
0,pilot_tcn_wgan_gp_seed0,0.0,0.15306439995765686,0.9162520660813455,0.7600515978138134,0.8734504404705385,0.8920374959594871,0.8826461259628454,0.09469113874087232,16558,2399,22936,2004,0.0,0.803375631390908,0.9747499271632515
0,pilot_tcn_wgan_gp_seed0,0.05,0.1494346559047699,0.9154608538653904,0.759213138665311,0.8522621869524889,0.8910138993642926,0.8712073324905183,0.11316360765739096,16539,2867,22468,2023,0.0,0.8023900455833436,0.9736816548509275
0,pilot_tcn_wgan_gp_seed0,0.1,0.1426122933626175,0.9146025586629521,0.7582097901619673,0.847948717948718,0.8907984053442517,0.8688455677578687,0.11703177422537991,16535,2965,22370,2027,0.0,0.8022668473573981,0.9733903078566573
0,pilot_tcn_wgan_gp_seed0,0.15,0.1353999376296997,0.9055267836803023,0.7440976910362667,0.8447976287816844,0.8905829113242107,0.8670862837660633,0.11987369252022893,16531,3037,22298,2031,0.0,0.8018972526795615,0.9732931921919006
0,pilot_tcn_wgan_gp_seed0,0.2,0.12824079394340515,0.8959783572044953,0.7205663222327037,0.8430502422851314,0.8904212908091801,0.8660885057772422,0.12145253601736727,16528,3077,22258,2034,0.0,0.8015276580017248,0.9732931921919006
0,pilot_tcn_wgan_gp_seed0,0.24,0.12253918498754501,0.8928670883961616,0.7131964419693269,0.8415075120957474,0.8901519232841288,0.8651464774720528,0.12283402407736334,16523,3112,22223,2039,0.0,0.8011580633238882,0.9730989608623871
0,pilot_tcn_wgan_gp_seed0,0.25,0.12101136893033981,0.8922387215280333,0.7119812023568324,0.8411219710853187,0.8901519232841288,0.8649426791603413,0.12318926386421945,16523,3121,22214,2039,0.0,0.8011580633238882,0.9730989608623871
0,pilot_tcn_wgan_gp_seed0,0.3,0.11347594857215881,0.8897364710572542,0.7074655393627458,0.839081627469904,0.8899364292640879,0.8637611440821983,0.125044404973357,16519,3168,22167,2043,0.0,0.800911666871997,0.9729047295328737
0,pilot_tcn_wgan_gp_seed0,0.35,0.1060466468334198,0.8877240941643798,0.703716658092596,0.8369829683698297,0.8895593147290163,0.8624706189605641,0.12693901716992304,16512,3216,22119,2050,0.0,0.8005420721941604,0.9725162668738467
0,pilot_tcn_wgan_gp_seed0,0.4,0.09835535287857056,0.8857403902670278,0.7001811306551232,0.8350531107738999,0.8893976942139855,0.8613690910988209,0.12871521610420367,16509,3261,22074,2053,0.006756756756756757,0.8002956757422693,0.9723220355443333
