metric,mean,std,median,min,max,ci95_low,ci95_high,paired_t_stat,paired_t_pvalue,wilcoxon_stat,wilcoxon_pvalue
delta_auc,0.018544513964337806,0.05460232928604632,0.02989324370108981,-0.04184236903757066,0.09635970974609864,-0.029316537880925624,0.06640556580960123,0.7594326904392764,0.48988775262519463,5.0,0.625
delta_ap,-0.011836463512690765,0.05770597572551182,-0.01909467910209295,-0.09125378969126186,0.054194172834063914,-0.06241798140932805,0.03874505438394652,-0.45865504732937684,0.6702963698341982,6.0,0.8125
delta_precision,0.016809470725014975,0.0642881875430972,0.053125119912632024,-0.06555599108544308,0.07556685353576387,-0.039541610213660275,0.07316055166369022,0.5846660272033442,0.5901613834149667,5.0,0.625
delta_recall,0.05758000215494021,0.184221383457587,0.0745609309341666,-0.22718457062816488,0.24539381532162474,-0.10389716008258593,0.21905716439246636,0.698902573341456,0.5231169829589029,4.0,0.4375
delta_f1,0.03855294205083433,0.12612364393186629,0.0750703120155255,-0.15477115336541247,0.1604932339659243,-0.07199930617860535,0.14910519028027402,0.6835118021553985,0.5318229414478847,5.0,0.625
delta_test_fpr,-0.003623445825932514,0.036800967374897305,-0.0019340832839944977,-0.05616735741069659,0.031932109729623,-0.035880915983637275,0.02863402433177225,-0.22016462494134592,0.8365230738209131,7.0,1.0
delta_threshold,-0.09113816916942599,0.12763784565170794,-0.12321062013506891,-0.21882533282041552,0.10248788818716999,-0.20301767372593316,0.020741335387081186,-1.5966357044587511,0.18558321422688473,2.0,0.1875
delta_training_time,4127.651199324779,1047.845982483635,4707.864588790922,2449.1893507080385,4999.554658249952,3209.1736993856616,5046.128699263896,8.80826841290379,0.0009165656521688861,0.0,0.0625
delta_inference_time,12.061237675207668,9.774799426125622,17.85803487605881,0.7319981668842956,20.571117875049822,3.493248209776482,20.629227140638854,2.7591100501215817,0.05089607279495759,0.0,0.0625
