calibration_fraction,target_fpr,mean_observed_test_fpr,std_observed_test_fpr,bias,relative_bias,mean_threshold,std_threshold,coverage_runs,coverage_seeds,coverage_repeats
0.05,0.01,0.038171304519439515,0.03653342838408178,0.02817130451943952,2.817130451943952,0.3009303247928619,0.1251519902857794,100,5,20
0.1,0.01,0.03814683244523387,0.03660419748515202,0.028146832445233874,2.8146832445233874,0.30086914747953414,0.12527151703965053,100,5,20
0.2,0.01,0.0382099861851194,0.03667061171604632,0.028209986185119405,2.8209986185119407,0.3005634368956089,0.12542068363229608,100,5,20
0.4,0.01,0.03808012630747977,0.0367417323432655,0.02808012630747978,2.808012630747978,0.3008720184862614,0.1253303500690598,100,5,20
1.0,0.01,0.03816854154331952,0.03674231907883417,0.02816854154331952,2.816854154331952,0.300562909245491,0.1253731725589807,100,5,20
0.05,0.05,0.0450447996842313,0.035056810743844646,-0.004955200315768702,-0.09910400631537403,0.28506945684552193,0.12734045058394625,100,5,20
0.1,0.05,0.045238602723505036,0.035028591786830515,-0.004761397276494971,-0.09522794552989941,0.28487192958593366,0.1277145332576819,100,5,20
0.2,0.05,0.0450219064535228,0.03502070066662314,-0.0049780935464772075,-0.09956187092954415,0.28519774913787843,0.1275197434273419,100,5,20
0.4,0.05,0.045098480363134,0.035007997362295595,-0.004901519636865998,-0.09803039273731996,0.28506246849894523,0.12753444436925984,100,5,20
1.0,0.05,0.04506019340832841,0.035013581275469836,-0.004939806591671602,-0.09879613183343204,0.2851257920265198,0.12754025130474456,100,5,20
0.05,0.1,0.0498950069074403,0.035536066961855906,-0.050104993092559696,-0.5010499309255969,0.27362130731344225,0.128984588906996,100,5,20
0.1,0.1,0.049741069666469316,0.03560051254453147,-0.050258930333530676,-0.5025893033353067,0.27413240090012553,0.12925274830227826,100,5,20
0.2,0.1,0.04960765739096112,0.03556085623744051,-0.05039234260903887,-0.5039234260903886,0.27441439524292943,0.12897603496559995,100,5,20
0.4,0.1,0.049748174462206446,0.035534087186122124,-0.05025182553779356,-0.5025182553779356,0.27410480588674546,0.12916707351640597,100,5,20
1.0,0.1,0.04969409907242944,0.03556694119478428,-0.050305900927570535,-0.5030590092757053,0.27427145540714265,0.12908136025895833,100,5,20
0.05,0.15,0.054481152555752914,0.036142661486773406,-0.0955188474442471,-0.6367923162949807,0.260787186473608,0.12994509052823044,100,5,20
0.1,0.15,0.054265640418393525,0.03623758489713749,-0.09573435958160648,-0.6382290638773765,0.26156718760728837,0.1305197019895594,100,5,20
0.2,0.15,0.0541894612196566,0.03620324948969389,-0.09581053878034339,-0.6387369252022893,0.26159766778349874,0.13020927082814368,100,5,20
0.4,0.15,0.054308663903690546,0.03619720302716981,-0.09569133609630946,-0.6379422406420631,0.2613593302667141,0.13031772877730366,100,5,20
1.0,0.15,0.05426485099664495,0.03623654723687761,-0.09573514900335507,-0.6382343266890338,0.261482247710228,0.13023308134902167,100,5,20
0.05,0.25,0.11250957173870141,0.03242985719720842,-0.13749042826129862,-0.5499617130451945,0.17132088400423526,0.06630812143443542,100,5,20
0.1,0.25,0.10584251036116044,0.03398290353873007,-0.14415748963883954,-0.5766299585553581,0.17997761376202107,0.07593519576304977,100,5,20
0.2,0.25,0.10610459838168543,0.028687142461811588,-0.14389540161831457,-0.5755816064732583,0.17752115786075592,0.06757601129914127,100,5,20
0.4,0.25,0.11104519439510559,0.02057804788724402,-0.1389548056048944,-0.5558192224195776,0.17298496782779693,0.06007864835878756,100,5,20
1.0,0.25,0.11045589105979868,0.01631738976587936,-0.1395441089402013,-0.5581764357608052,0.17357270419597626,0.05735402557151298,100,5,20
