model,attack_family,support,recall_mean,recall_std,recall_mean_std,precision_mean,precision_std,precision_mean_std,score_mean_mean,score_mean_std,score_median_median,score_std_mean,score_q05_median,score_q25_median,score_q75_median,score_q95_median,threshold_margin_mean,threshold_margin_std,threshold_margin_mean_std,false_negative_rate_mean,false_negative_rate_std,false_negative_rate_mean_std,recall_min,recall_max
tcn_gan,Bot,148,0.02027027027027027,0.03021713483107824,0.0203±0.0302,0.0001892778451868615,0.0002739262852535521,0.0002±0.0003,0.0889944162727027,0.07094949514732668,0.0404321995,0.04984541943844224,0.0143435062,0.02575401725,0.07140995,0.21436127500000002,-0.17571645932787366,0.09544273352820588,-0.1757±0.0954,0.9797297297297298,0.03021713483107823,0.9797±0.0302,0.0,0.06756756756756757
tcn_wgan_gp,Bot,148,0.0,0.0,0.0000±0.0000,0.0,0.0,0.0000±0.0000,0.047735034310675675,0.008012148636886358,0.045309993,0.02256346547625724,0.0217249114,0.0328202655,0.06137770575,0.09871109900000001,-0.12583767212047475,0.05787206040313672,-0.1258±0.0579,1.0,0.0,1.0000±0.0000,0.0,0.0
tcn_gan,DDoS,8117,0.6276210422569914,0.16739399086572404,0.6276±0.1674,0.30023763794226055,0.06217184680265298,0.3002±0.0622,0.401663550517706,0.052855951277068484,0.44497824,0.20320970458339405,0.179331954,0.21747516,0.627999,0.7094638799999999,0.13695267491712965,0.1156205869340581,0.1370±0.1156,0.3723789577430085,0.167393990865724,0.3724±0.1674,0.5401010225452754,0.9253418750769989
tcn_wgan_gp,DDoS,8117,0.6466182086977947,0.1812886613802119,0.6466±0.1813,0.2889599570621722,0.056908548052265695,0.2890±0.0569,0.20932792663922636,0.04398758578689384,0.18638025,0.06557513383688814,0.109558146,0.16702022,0.24934766,0.29389287000000003,0.03575522020807588,0.026229022549118058,0.0358±0.0262,0.35338179130220526,0.18128866138021194,0.3534±0.1813,0.38228409510903044,0.8011580633238882
tcn_gan,PortScan,10297,0.8661746139652327,0.12008784895370786,0.8662±0.1201,0.5265750323589155,0.03670247979731824,0.5266±0.0367,0.38649089702138095,0.1270775066349926,0.32792813,0.08209953798517437,0.2718473,0.32431734,0.39704075,0.399719092,0.1217800214208046,0.087370643376444,0.1218±0.0874,0.1338253860347674,0.12008784895370785,0.1338±0.1201,0.6690298145090803,0.9660095173351462
tcn_wgan_gp,PortScan,10297,0.9552879479460037,0.015235804358676169,0.9553±0.0152,0.5548514618092056,0.06053886880252727,0.5549±0.0605,0.2548562566174614,0.14437769855928825,0.1813433,0.036107919067283084,0.151974824,0.17377006,0.20134926,0.20414089,0.08128355018631098,0.08207584101437047,0.0813±0.0821,0.04471205205399631,0.015235804358676178,0.0447±0.0152,0.9322132659998058,0.9730989608623871
