model,seed,run_id,auc,ap,calibrated_threshold,calibrated_precision,calibrated_recall,calibrated_f1,oracle_threshold,oracle_precision,oracle_recall,oracle_f1,calibrated_threshold_percentile_test,calibrated_threshold_percentile_calibration,calibrated_f1_regret
tcn_gan,0,pilot_tcn_gan_seed0,0.8629738446950717,0.7322911976895524,0.2457498013973236,0.7815754818628038,0.703426354918651,0.7404445956674607,0.09288295,0.6969175927867477,0.8952699062601013,0.7837385337326385,0.6194272957149691,0.7499849315894159,0.043293938065177784
tcn_gan,1,formal_tcn_gan_seed1,0.8604402153264561,0.7006482691701508,0.32579727470874786,0.7882582081246522,0.610494558775994,0.6880806363470764,0.27248257,0.7184547908232118,0.91778903135438,0.8059800350096987,0.672506093810511,0.7499849315894159,0.11789939866262233
tcn_gan,2,formal_tcn_gan_seed2,0.8386959745338549,0.7960104035956955,0.07193594798445702,0.7829725983580339,0.7912401680853356,0.7870846730975348,0.08586819,0.8381869422263973,0.7690981575261286,0.8021576670225319,0.5726815044308267,0.7499849315894159,0.015072993924997058
tcn_gan,3,formal_tcn_gan_seed3,0.9320804186937809,0.8744596051643356,0.3591739237308502,0.8533548107304381,0.7420536580109902,0.793821859781575,0.17445894,0.7435016556291391,0.9677297704988687,0.8409250503253594,0.632298334738137,0.7499849315894159,0.04710319054378431
tcn_gan,4,formal_tcn_gan_seed4,0.9791345894971821,0.9792906692972516,0.3208974301815033,0.9288486416558862,0.9283482383363861,0.928598372581775,0.2839872,0.9152875465453041,0.9534532916711561,0.9339806849965697,0.5773743080392738,0.7499849315894159,0.005382312414794699
tcn_wgan_gp,0,pilot_tcn_wgan_gp_seed0,0.8928670883961616,0.7131965185874595,0.12253918126225471,0.8415075120957474,0.8901519232841288,0.8651464774720528,0.09660085,0.8070206939893163,0.9685378730740222,0.8804329195132103,0.5527029181948653,0.7499849315894159,0.015286442041157589
tcn_wgan_gp,1,formal_tcn_wgan_gp_seed1,0.8935877961742985,0.7336811406482023,0.14783845096826553,0.8413833280372842,0.8558883740976188,0.8485738703130007,0.14407757,0.8361083563860326,0.8629996767589699,0.8493412157684048,0.5698567100257421,0.7499849315894159,0.0007673454554041337
tcn_wgan_gp,2,formal_tcn_wgan_gp_seed2,0.9350556842799537,0.8502045764297593,0.17442383617162704,0.8585394518937978,0.8658010990195022,0.8621549851130603,0.18864237,0.8973252314157533,0.8512552526667385,0.8736833374803019,0.5735699478324259,0.7499849315894159,0.01152835236724159
tcn_wgan_gp,3,formal_tcn_wgan_gp_seed3,0.89023804965621,0.7832058154730738,0.14034859091043472,0.8143341517596165,0.750457924792587,0.7810922956151173,0.10373755,0.7833340669982832,0.958679021657149,0.8621817388987135,0.6103150556985671,0.7499849315894159,0.08108944328359624
tcn_wgan_gp,4,formal_tcn_wgan_gp_seed4,0.9542989940614109,0.9432297762150371,0.28271347284317017,0.8632926505704431,0.7011636677082211,0.7738272192163625,0.20517573,0.8517892500120732,0.950220881370542,0.898316738394153,0.6565596737818075,0.7499849315894159,0.1244895191777905
