seed,delta_auc,delta_ap,delta_precision,delta_recall,delta_f1,delta_test_fpr,delta_threshold,delta_training_time,delta_inference_time
0,0.02989324370108981,-0.01909467910209295,0.05993203023294358,0.18672556836547782,0.12470188180459207,-0.021195973949082292,-0.12321062013506891,2449.1893507080385,0.7319981668842956
1,0.03314758084784242,0.03303287147805167,0.053125119912632024,0.24539381532162474,0.1604932339659243,-0.0019340832839944977,-0.1779588237404823,4999.554658249952,19.039562500081956
2,0.09635970974609864,0.054194172834063914,0.07556685353576387,0.0745609309341666,0.0750703120155255,-0.05616735741069659,0.10248788818716999,4707.864588790922,17.85803487605881
3,-0.04184236903757066,-0.09125378969126186,-0.03902065897082152,0.00840426678159678,-0.012729564166457763,0.031932109729623,-0.21882533282041552,4716.329422957962,20.571117875049822
4,-0.024835595435771185,-0.03606089308221461,-0.06555599108544308,-0.22718457062816488,-0.15477115336541247,0.029248075784487806,-0.038183957338333185,3765.317975917016,2.1054749579634517
