seed,run_id,block_scheme,block_id,source_file,window_count,benign_support,attack_support,attack_families,score_mean,score_std,benign_fpr,recall,precision,f1,threshold_margin_mean,wasserstein_to_calibration_benign
0,pilot_tcn_wgan_gp_seed0,equal_order,B01,mixed,4390,4390,0,,0.04874463826845103,0.029624188696435964,0.0255125284738041,0.0,0.0,0.0,-0.0737945429938037,0.02972400965211434
0,pilot_tcn_wgan_gp_seed0,equal_order,B02,mixed,4390,4242,148,Bot,0.04983931971410934,0.02949800679108471,0.024516737388024516,0.0,0.0,0.0,-0.07269986154814537,0.028182796194337986
0,pilot_tcn_wgan_gp_seed0,equal_order,B03,mixed,4390,4317,73,DDoS,0.06033501881485194,0.04598755976894858,0.062311790595320826,0.9315068493150684,0.20178041543026706,0.3317073170731707,-0.062204162447402775,0.023155865731741953
0,pilot_tcn_wgan_gp_seed0,equal_order,B04,mixed,4390,1093,3297,DDoS,0.18217104105580864,0.05788033221972172,0.7017383348581885,0.8340915984228087,0.7819164060278646,0.8071617258585265,0.05963185979355394,0.11925015952682713
0,pilot_tcn_wgan_gp_seed0,equal_order,B05,mixed,4390,1190,3200,DDoS,0.19535185314920273,0.06947218569170789,0.819327731092437,0.75625,0.7128129602356407,0.7338893100833965,0.07281267188694802,0.1545838830088464
0,pilot_tcn_wgan_gp_seed0,equal_order,B06,mixed,4390,2843,1547,DDoS,0.13044271634712984,0.08340013363564257,0.2550123109391488,0.8177117000646412,0.635678391959799,0.7152954481198757,0.007903535084875124,0.02660418599508503
0,pilot_tcn_wgan_gp_seed0,equal_order,B07,mixed,4390,4346,44,PortScan,0.049311902305148064,0.02699769749100983,0.018867924528301886,0.0,0.0,0.0,-0.07322727895710665,0.029080015996736312
0,pilot_tcn_wgan_gp_seed0,equal_order,B08,mixed,4389,771,3618,PortScan,0.15408502781567557,0.0497137027392012,0.014267185473411154,0.9988944168048646,0.9969655172413793,0.9979290349302775,0.03154584655342084,0.02832736159126793
0,pilot_tcn_wgan_gp_seed0,equal_order,B09,mixed,4389,50,4339,PortScan,0.18516259458190934,0.02098447301154161,0.0,0.9903203503111316,1.0,0.9951366373320981,0.06262341331965461,0.03860929292419143
0,pilot_tcn_wgan_gp_seed0,equal_order,B10,mixed,4389,2093,2296,PortScan,0.1121231514612349,0.06599819324870111,0.03201146679407549,0.9185540069686411,0.9692095588235294,0.9432021466905187,-0.01041602980101981,0.02760918875335313
0,pilot_tcn_wgan_gp_seed0,source_file,Friday-WorkingHours-Morning.pcap_ISCX.csv,Friday-WorkingHours-Morning.pcap_ISCX.csv,11924,11776,148,Bot,0.04942064301745555,0.029564644389164875,0.025815217391304348,0.0,0.0,0.0,-0.07311853824479916,0.028878982321289257
0,pilot_tcn_wgan_gp_seed0,source_file,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,14099,5982,8117,DDoS,0.16468050270409246,0.0778953937634897,0.44149114008692747,0.8011580633238882,0.7111767279090113,0.7534905277793871,0.04214132144183778,0.06729862701206586
0,pilot_tcn_wgan_gp_seed0,source_file,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,17874,7577,10297,PortScan,0.12386968563753833,0.0679504071613871,0.022040385376798206,0.9730989608623871,0.9836065573770492,0.9783245459871119,0.0013305043752836027,0.028531052118884133
1,formal_tcn_wgan_gp_seed1,equal_order,B01,mixed,4390,4390,0,,0.07034513924852163,0.03434521557303581,0.01571753986332574,0.0,0.0,0.0,-0.0774933117197439,0.03178432868562351
1,formal_tcn_wgan_gp_seed1,equal_order,B02,mixed,4390,4242,148,Bot,0.07296735019340547,0.03391536261552819,0.009193776520509194,0.0,0.0,0.0,-0.07487110077486006,0.028207778907039974
1,formal_tcn_wgan_gp_seed1,equal_order,B03,mixed,4390,4317,73,DDoS,0.0807081162120729,0.04064467258513531,0.0650914987259671,0.8904109589041096,0.18786127167630057,0.3102625298329355,-0.06713033475619264,0.02270469181605894
1,formal_tcn_wgan_gp_seed1,equal_order,B04,mixed,4390,1093,3297,DDoS,0.17653905258724373,0.05842900481638224,0.7008234217749314,0.8046709129511678,0.7759578824217608,0.7900536033353186,0.0287006016189782,0.11001760889354839
1,formal_tcn_wgan_gp_seed1,equal_order,B05,mixed,4390,1190,3200,DDoS,0.19039910763576312,0.0651807053473845,0.8142857142857143,0.734375,0.7080445917445014,0.7209694738456819,0.042560656667497566,0.12545248721671723
1,formal_tcn_wgan_gp_seed1,equal_order,B06,mixed,4390,2843,1547,DDoS,0.13618607685234624,0.07072356665038103,0.2782272247625747,0.6645119586296057,0.5651456844420011,0.6108140225787284,-0.011652374115919292,0.02099915998875336
1,formal_tcn_wgan_gp_seed1,equal_order,B07,mixed,4390,4346,44,PortScan,0.07016679344465604,0.032239566963064015,0.005982512655315232,0.0,0.0,0.0,-0.0776716575236095,0.03169922132443784
