model,attack_family,support,recall_mean,recall_std,recall_mean_std,score_mean_mean,score_mean_std,threshold_margin_mean,threshold_margin_std
tcn_gan,Bot,148,0.02027027027027027,0.03021713483107824,0.0203±0.0302,0.08899441957473755,0.07094949800964251,-0.17571645602583885,0.09544273334031121
tcn_gan,DDoS,8117,0.6276210422569914,0.16739399086572404,0.6276±0.1674,0.4016635537147522,0.05285594522418096,0.1369526781141758,0.1156205878524503
tcn_gan,PortScan,10297,0.8661746139652327,0.12008784895370786,0.8662±0.1201,0.38649089336395265,0.12707750900541037,0.12178001776337624,0.08737064188705033
tcn_wgan_gp,Bot,148,0.0,0.0,0.0000±0.0000,0.04773503616452217,0.008012150104094591,-0.12583767026662826,0.05787205826368169
tcn_wgan_gp,DDoS,8117,0.6466182086977947,0.1812886613802119,0.6466±0.1813,0.20932793021202087,0.043987579280015676,0.03575522378087044,0.026229026080594596
tcn_wgan_gp,PortScan,10297,0.9552879479460037,0.015235804358676169,0.9553±0.0152,0.2548562616109848,0.144377716100061,0.08128355517983436,0.08207585900325658
