seed,delta_auc,delta_ap,delta_f1,delta_test_fpr,delta_recall,delta_precision
0,0.02989324370108981,-0.01909467910209295,0.12470188180459207,-0.021195973949082278,0.18672556836547782,0.05993203023294358
1,0.03314758084784242,0.03303287147805167,0.1604932339659243,-0.00193408328399447,0.24539381532162474,0.053125119912632024
2,0.09635970974609864,0.054194172834063914,0.0750703120155255,-0.05616735741069666,0.0745609309341666,0.07556685353576387
3,-0.04184236903757077,-0.09125378969126186,-0.012729564166457763,0.03193210972962304,0.00840426678159678,-0.03902065897082152
4,-0.024835595435771074,-0.036060893082214496,-0.15477115336541247,0.02924807578448787,-0.227184570628165,-0.06555599108544308
