model,n,auc_mean,auc_std,auc_median,auc_min,auc_max,auc_ci95_low,auc_ci95_high,auc_mean_std,ap_mean,ap_std,ap_median,ap_min,ap_max,ap_ci95_low,ap_ci95_high,ap_mean_std,precision_mean,precision_std,precision_median,precision_min,precision_max,precision_ci95_low,precision_ci95_high,precision_mean_std,recall_mean,recall_std,recall_median,recall_min,recall_max,recall_ci95_low,recall_ci95_high,recall_mean_std,f1_mean,f1_std,f1_median,f1_min,f1_max,f1_ci95_low,f1_ci95_high,f1_mean_std,test_benign_fpr_mean,test_benign_fpr_std,test_benign_fpr_median,test_benign_fpr_min,test_benign_fpr_max,test_benign_fpr_ci95_low,test_benign_fpr_ci95_high,test_benign_fpr_mean_std,threshold_mean,threshold_std,threshold_median,threshold_min,threshold_max,threshold_ci95_low,threshold_ci95_high,threshold_mean_std,training_time_seconds_mean,training_time_seconds_std,training_time_seconds_median,training_time_seconds_min,training_time_seconds_max,training_time_seconds_ci95_low,training_time_seconds_ci95_high,training_time_seconds_mean_std,inference_time_seconds_mean,inference_time_seconds_std,inference_time_seconds_median,inference_time_seconds_min,inference_time_seconds_max,inference_time_seconds_ci95_low,inference_time_seconds_ci95_high,inference_time_seconds_mean_std,training_failed_count
tcn_gan,5,0.8946650085492692,0.058828611508335245,0.8629738446950717,0.8386959745338549,0.979134589497182,0.8216196395750536,0.9677103775234849,0.8947±0.0588,0.8165400289833971,0.11268615632931404,0.7960104035956955,0.7006482691701508,0.9792906692972515,0.6766216855733262,0.9564583723934679,0.8165±0.1127,0.8270019481463627,0.0643631245704056,0.7882582081246522,0.7815754818628038,0.9288486416558862,0.7470845735553858,0.9069193227373397,0.8270±0.0644,0.7551125956254714,0.11733730151738357,0.7420536580109902,0.610494558775994,0.9283482383363861,0.6094190926849561,0.9008060985659867,0.7551±0.1173,0.7876060274950843,0.08950873405660152,0.7870846730975348,0.6880806363470764,0.928598372581775,0.6764662548922069,0.8987458000979618,0.7876±0.0895,0.1140793368857312,0.04293552150737349,0.12014999013222814,0.05210183540556542,0.16068679692125518,0.06076784558592203,0.16739082818554038,0.1141±0.0429,0.2647108756005764,0.11547016885984236,0.3208974301815033,0.07193594798445702,0.3591739237308502,0.12133572406080045,0.4080860271403523,0.2647±0.1155,397.76882055022287,5.858366020735218,397.18199087504763,390.59614745900035,406.95504141703714,390.49469837397567,405.0429427264701,397.7688±5.8584,19.860224174987525,1.1457936489536515,19.45787591696717,19.113583917031065,21.891349332989193,18.437533451711253,21.282914898263797,19.8602±1.1458,0
tcn_wgan_gp,5,0.9132095225136068,0.029547059039753087,0.8935877961742985,0.8902380496562101,0.9542989940614109,0.8765220030511442,0.9498970419760693,0.9132±0.0295,0.8047035654707063,0.09372797177657301,0.7832058154730738,0.7131965185874594,0.943229776215037,0.6883249172910769,0.9210822136503357,0.8047±0.0937,0.8438114188713778,0.019212926853616603,0.8415075120957474,0.8143341517596165,0.8632926505704431,0.8199554192971197,0.8676674184456359,0.8438±0.0192,0.8126925977804115,0.08215563259440663,0.8558883740976188,0.7011636677082211,0.8901519232841288,0.7106829065382809,0.914702289022542,0.8127±0.0822,0.8261589695459188,0.04496605352690677,0.8485738703130007,0.7738272192163625,0.8651464774720528,0.7703262397402552,0.8819916993515825,0.8262±0.0450,0.1104558910597987,0.018151950194259716,0.11821590684823367,0.08134991119005329,0.12536017367278468,0.08791726800639854,0.13299451411319885,0.1105±0.0182,0.17357270643115044,0.06380232315982973,0.14783845096826553,0.12253918126225471,0.28271347284317017,0.0943516587618275,0.2527937541004734,0.1736±0.0638,4525.420019875001,1051.8849530592963,5113.591989874956,2839.785498167039,5396.7366491249995,3219.3323434090144,5831.507696340988,4525.4200±1051.8850,31.921461850195193,10.330143641431901,38.55216516600922,19.84558208391536,40.02899379201699,19.094894394355645,44.74802930603474,31.9215±10.3301,0
