seed,run_id,calibration_fraction,repeat_id,sample_size,target_fpr,threshold,calibration_empirical_fpr,test_benign_fpr,abs_test_fpr_minus_target_fpr,precision,recall,f1,tp,fp,tn,fn
0,pilot_tcn_wgan_gp_seed0,0.05,0,830,0.01,0.18287256360054016,0.010843373493975903,0.09425695677915927,0.08425695677915927,0.7930675909878683,0.4930503178536796,0.608065909241911,9152,2388,22947,9410
0,pilot_tcn_wgan_gp_seed0,0.05,1,830,0.01,0.18735164403915405,0.010843373493975903,0.09311229524373396,0.08311229524373397,0.7534747622531089,0.38842797112380134,0.5126017560698163,7210,2359,22976,11352
0,pilot_tcn_wgan_gp_seed0,0.05,2,830,0.01,0.18472813069820404,0.010843373493975903,0.0937438326425893,0.0837438326425893,0.7789669613773849,0.45092123693567504,0.5711945951479169,8370,2375,22960,10192
0,pilot_tcn_wgan_gp_seed0,0.05,3,830,0.01,0.18493904173374176,0.010843373493975903,0.0937438326425893,0.0837438326425893,0.7767437488249671,0.4451567718995798,0.565958904109589,8263,2375,22960,10299
0,pilot_tcn_wgan_gp_seed0,0.05,4,830,0.01,0.1896180361509323,0.010843373493975903,0.09283599763173475,0.08283599763173476,0.7274307567504925,0.33816399094925115,0.46169688499871286,6277,2352,22983,12285
0,pilot_tcn_wgan_gp_seed0,0.05,5,830,0.01,0.18624724447727203,0.010843373493975903,0.09350700611801856,0.08350700611801856,0.7644426767425674,0.4141795065186941,0.5372654530207205,7688,2369,22966,10874
0,pilot_tcn_wgan_gp_seed0,0.05,6,830,0.01,0.18463139235973358,0.010843373493975903,0.0937438326425893,0.0837438326425893,0.7798683844656594,0.4532916711561254,0.5733365132363463,8414,2375,22960,10148
0,pilot_tcn_wgan_gp_seed0,0.05,7,830,0.01,0.18487992882728577,0.010843373493975903,0.0937438326425893,0.0837438326425893,0.7772671855950483,0.4465036095248357,0.567185628742515,8288,2375,22960,10274
0,pilot_tcn_wgan_gp_seed0,0.05,8,830,0.01,0.18637345731258392,0.010843373493975903,0.09342806394316164,0.08342806394316164,0.7634182908545727,0.41148583126818233,0.5347428851471979,7638,2367,22968,10924
0,pilot_tcn_wgan_gp_seed0,0.05,9,830,0.01,0.20485426485538483,0.010843373493975903,0.08845470692717584,0.07845470692717585,0.49651763648618286,0.11906044607262148,0.19206535436492417,2210,2241,23094,16352
0,pilot_tcn_wgan_gp_seed0,0.05,10,830,0.01,0.18343932926654816,0.010843373493975903,0.09405960134201698,0.08405960134201698,0.7893759943432915,0.4811442732464174,0.5978712009639845,8931,2383,22952,9631
0,pilot_tcn_wgan_gp_seed0,0.05,11,830,0.01,0.20725636184215546,0.010843373493975903,0.08758634300374975,0.07758634300374975,0.47714420358152687,0.10909384764572783,0.17758484609313338,2025,2219,23116,16537
0,pilot_tcn_wgan_gp_seed0,0.05,12,830,0.01,0.18778344988822937,0.010843373493975903,0.09307282415630551,0.08307282415630551,0.7487212276214834,0.3785152462019179,0.5028268804122236,7026,2358,22977,11536
0,pilot_tcn_wgan_gp_seed0,0.05,13,830,0.01,0.18594801425933838,0.010843373493975903,0.09358594829287546,0.08358594829287547,0.7677766895200784,0.4223144057752397,0.5449047685249548,7839,2371,22964,10723
0,pilot_tcn_wgan_gp_seed0,0.05,14,830,0.01,0.1862075924873352,0.010843373493975903,0.09350700611801856,0.08350700611801856,0.7648868598650258,0.4152031031138886,0.5382359103289336,7707,2369,22966,10855
