model,seed,run_id,threshold,calibration_empirical_fpr,test_benign_fpr,abs_test_fpr_minus_target,calibration_score_mean,calibration_score_std,test_benign_score_mean,test_benign_score_std,mean_shift_test_minus_calibration,std_shift_test_minus_calibration,wasserstein_distance,ks_statistic,ks_pvalue
tcn_gan,0,pilot_tcn_gan_seed0,0.2457498013973236,0.2500150684105841,0.14402999802644562,0.10597000197355438,0.13892988368137663,0.1422838976641176,0.11607387435231621,0.1595345410317915,-0.022856009329060414,0.0172506433676739,0.05371463642757664,0.1445572799860092,2.6858380834158815e-183
tcn_gan,1,formal_tcn_gan_seed1,0.32579727470874786,0.2500150684105841,0.12014999013222814,0.12985000986777184,0.2562974499196552,0.07022342373205193,0.2491913958515098,0.0892479703397211,-0.0071060540681454065,0.01902454660766917,0.024373836717871668,0.14252158440527807,3.683246751152022e-178
tcn_gan,2,formal_tcn_gan_seed2,0.07193594798445702,0.2500150684105841,0.16068679692125518,0.08931320307874482,0.07240712833464355,0.09257408799630538,0.0641501193998687,0.11302651385840923,-0.008257008934774851,0.020452425862103843,0.026190607106582612,0.09834395937306706,7.380631730899457e-85
tcn_gan,3,formal_tcn_gan_seed3,0.3591739237308502,0.2500150684105841,0.09342806394316164,0.15657193605683836,0.20417494334404798,0.19042224714518757,0.13422909573859879,0.13078980830737416,-0.0699458476054492,-0.05963243883781341,0.07138881776197836,0.1945362294134495,0.0
tcn_gan,4,formal_tcn_gan_seed4,0.3208974301815033,0.2500150684105841,0.05210183540556542,0.19789816459443457,0.18288729544913582,0.1921863006874378,0.09627611281960193,0.09002925711925801,-0.08661118262953389,-0.1021570435681798,0.08661138510941309,0.2245892027721783,0.0
tcn_wgan_gp,0,pilot_tcn_wgan_gp_seed0,0.12253918126225471,0.2500150684105841,0.12283402407736334,0.12716597592263668,0.07846864792056536,0.05354311608021085,0.07240935445758831,0.0698211632488162,-0.006059293462977053,0.01627804716860535,0.02213353931490942,0.13298020139913602,4.534116554849379e-155
tcn_wgan_gp,1,formal_tcn_wgan_gp_seed1,0.14783845096826553,0.2500150684105841,0.11821590684823367,0.1317840931517663,0.10210929734798867,0.05797629161173598,0.09201238814700334,0.06483702575877279,-0.010096909200985327,0.006860734147036807,0.021173691498186004,0.14647486206679694,3.327254931728368e-188
tcn_wgan_gp,2,formal_tcn_wgan_gp_seed2,0.17442383617162704,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.11733215128730638,0.0896674379736142,0.0884664493838287,0.06185454801999003,-0.02886570190347769,-0.027812889953624173,0.029563849311832726,0.17220841471672743,1.865911802608129e-260
tcn_wgan_gp,3,formal_tcn_wgan_gp_seed3,0.14034859091043472,0.2500150684105841,0.12536017367278468,0.12463982632721532,0.09414838806225664,0.07140285102207267,0.07754949375718966,0.0612816461077328,-0.01659889430506699,-0.01012120491433987,0.01735094213518916,0.13218251477456622,3.2603924972960125e-153
tcn_wgan_gp,4,formal_tcn_wgan_gp_seed4,0.28271347284317017,0.2500150684105841,0.08134991119005329,0.1686500888099467,0.18482919821153035,0.18862022003614456,0.10661278166024474,0.084072798644665,-0.07821641655128561,-0.10454742139147956,0.07821645312198845,0.2335112981913613,0.0
