method,window_size,stride,auc,ap,target_fpr,calib_f1,calib_recall,calib_precision,calib_threshold,train_benign_fpr,test_benign_fpr,eval_seconds,n_train_windows,n_test_windows
DeepSVDD,128,16,0.47816248677954115,0.46643842564062565,0.05,0.029139614539133996,0.015338248748721812,0.29081632653061223,4.168557996564461e-08,0.05,0.027401040845292542,134.0769078731537,81600,43945
DeepSVDD,128,16,0.47816248677954115,0.46643842564062565,0.15,0.34623829885588814,0.241859964479845,0.6091081593927894,2.790670352581512e-08,0.15,0.11370446301845134,134.0769078731537,81600,43945
TranAD,128,16,0.5660149283427007,0.5786158588639663,0.05,0.4919379898491179,0.3834024003013831,0.6861876324407629,0.009992887498810889,0.05,0.1284497713294433,1642.513210773468,81600,43945
TranAD,128,16,0.5660149283427007,0.5786158588639663,0.15,0.4849260345796142,0.4181152790484904,0.5771488002377237,0.005142060248181223,0.15,0.22441255322504336,1642.513210773468,81600,43945
