dataset,method,split_source,train_spec,test_spec,window_size,stride,anomaly_ratio_threshold,independent_calibration,calib_ratio,scaler_fit_source,model_training_source,threshold_calibration_source,target_fpr,threshold,observed_test_benign_fpr,fp_over_test_benign,precision,recall,f1,auc,ap,tp,fp,tn,fn,train_seconds,inference_seconds,windows_per_second,random_seed,baseline_hyperparameters,command_line,notes
swat,IsolationForest,swat_formal_unsupervised_split_60_20_20,benign_data/benign_samples_5sec.csv[:0.60],benign_data/benign_samples_5sec.csv[0.80:] + attack_data/attack_samples_5sec.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.05,0.01549201309680939,0.017910447761193975,6/335,0.9943396226415085,0.9599271402550084,0.9768303985166448,0.9860886822717017,0.9963996548810652,1054,6,329,44,0.08583391702268273,0.015995749970898032,89586.29652296001,42,"{""contamination"": 0.1, ""n_estimators"": 100}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset swat --data-dir /Users/lijie/Desktop/work/attack/dataset/SWaT --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
swat,OneClassSVM,swat_formal_unsupervised_split_60_20_20,benign_data/benign_samples_5sec.csv[:0.60],benign_data/benign_samples_5sec.csv[0.80:] + attack_data/attack_samples_5sec.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.05,-2.2590863943099975,0.0,0/335,0.9999999999999166,0.010928961748633871,0.0216216216216002,0.4129924149743088,0.8150030159485575,12,0,335,1086,0.009955583955161273,0.021624332992359996,66267.93994091227,42,"{""nu"": 0.1, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""max_samples"": 10000, ""pca_components"": 100, ""sampled_train_windows"": null, ""pca_used"": true}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset swat --data-dir /Users/lijie/Desktop/work/attack/dataset/SWaT --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
swat,GANomaly,swat_formal_unsupervised_split_60_20_20,benign_data/benign_samples_5sec.csv[:0.60],benign_data/benign_samples_5sec.csv[0.80:] + attack_data/attack_samples_5sec.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.05,1.6358313322067262,0.0,0/335,0.9999999999999963,0.2559198542805098,0.4075416968814733,0.5382432101786151,0.8606055433764834,281,0,335,817,3.6161270830780268,0.38306983304210007,3740.8322879930633,42,"{""latent_dim"": 64, ""epochs"": 30, ""batch_size"": 256, ""lr"": 0.001}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset swat --data-dir /Users/lijie/Desktop/work/attack/dataset/SWaT --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
swat,TranAD,swat_formal_unsupervised_split_60_20_20,benign_data/benign_samples_5sec.csv[:0.60],benign_data/benign_samples_5sec.csv[0.80:] + attack_data/attack_samples_5sec.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.05,0.047417277842760085,0.0,0/335,0.9999999999999991,0.934426229508196,0.9661016949147541,0.9408694233749286,0.9857454655932814,1026,0,335,72,13.069832624983974,0.5444668749114498,2631.932383826028,42,"{""d_model"": 64, ""nhead"": 4, ""num_layers"": 2, ""epochs"": 30, ""batch_size"": 256, ""lr"": 0.001}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset swat --data-dir /Users/lijie/Desktop/work/attack/dataset/SWaT --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
swat,Ours,swat_formal_unsupervised_split_60_20_20,benign_data/benign_samples_5sec.csv[:0.60],benign_data/benign_samples_5sec.csv[0.80:] + attack_data/attack_samples_5sec.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.05,0.6343164443969727,0.0,0/335,0.9999999999999991,0.9899817850637515,0.9949656750567073,0.9904439550879482,0.9977442525541758,1087,0,335,11,0.0,7.747319916961715,184.967190636163,42,"{""reference"": ""checkpoint_eval_strict"", ""checkpoint"": ""/Users/lijie/Desktop/work/attack/_archive/2026-04-29_current_only_cleanup/results_legacy/cross_dataset_formal_unsup/swat_tcn/20260419_143521/ours_ckpt.pt"", ""score_mode"": ""prob"", ""score_alpha"": 0.24, ""disc_pooling"": ""attn""}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset swat --baselines ours --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --target-fprs 0.05 0.15 --device auto,checkpoint-based Ours evaluation; scaler fit/model train/calibration remain strict-no-leakage in dataset pipeline
swat,IsolationForest,swat_formal_unsupervised_split_60_20_20,benign_data/benign_samples_5sec.csv[:0.60],benign_data/benign_samples_5sec.csv[0.80:] + attack_data/attack_samples_5sec.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.15,0.008035846054553986,0.05970149253731325,20/335,0.9815498154981541,0.9690346083788699,0.9752520623276384,0.9860886822717017,0.9963996548810652,1064,20,315,34,0.09957412502262741,0.0456737499916926,31374.69553650931,42,"{""contamination"": 0.1, ""n_estimators"": 100}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset swat --data-dir /Users/lijie/Desktop/work/attack/dataset/SWaT --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
swat,OneClassSVM,swat_formal_unsupervised_split_60_20_20,benign_data/benign_samples_5sec.csv[:0.60],benign_data/benign_samples_5sec.csv[0.80:] + attack_data/attack_samples_5sec.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.15,-3.8230506658554124,0.0,0/335,0.9999999999999825,0.05191256830601088,0.0987012987012047,0.4129924149743088,0.8150030159485575,57,0,335,1041,0.010375707992352545,0.02189637499395758,65444.62270103814,42,"{""nu"": 0.1, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""max_samples"": 10000, ""pca_components"": 100, ""sampled_train_windows"": null, ""pca_used"": true}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset swat --data-dir /Users/lijie/Desktop/work/attack/dataset/SWaT --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
swat,GANomaly,swat_formal_unsupervised_split_60_20_20,benign_data/benign_samples_5sec.csv[:0.60],benign_data/benign_samples_5sec.csv[0.80:] + attack_data/attack_samples_5sec.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.15,0.589555692672729,0.0,0/335,0.9999999999999973,0.35336976320582847,0.5222072678327224,0.5382432101786151,0.8606055433764834,388,0,335,710,2.0768088749609888,0.06347616598941386,22575.402557221027,42,"{""latent_dim"": 64, ""epochs"": 30, ""batch_size"": 256, ""lr"": 0.001}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset swat --data-dir /Users/lijie/Desktop/work/attack/dataset/SWaT --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
swat,TranAD,swat_formal_unsupervised_split_60_20_20,benign_data/benign_samples_5sec.csv[:0.60],benign_data/benign_samples_5sec.csv[0.80:] + attack_data/attack_samples_5sec.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.15,0.046362831816077234,0.04179104477611927,14/335,0.9865642994241834,0.9362477231329682,0.9607476635509014,0.9408694233749286,0.9857454655932814,1028,14,321,70,12.583188291988336,0.27243870799429715,5259.898677944092,42,"{""d_model"": 64, ""nhead"": 4, ""num_layers"": 2, ""epochs"": 30, ""batch_size"": 256, ""lr"": 0.001}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset swat --data-dir /Users/lijie/Desktop/work/attack/dataset/SWaT --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
swat,Ours,swat_formal_unsupervised_split_60_20_20,benign_data/benign_samples_5sec.csv[:0.60],benign_data/benign_samples_5sec.csv[0.80:] + attack_data/attack_samples_5sec.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.15,0.6286792635917664,0.05074626865671626,17/335,0.9846014492753615,0.9899817850637515,0.9872842870113067,0.9904439550879482,0.9977442525541758,1087,17,318,11,0.0,7.541065042023547,190.02620876685518,42,"{""reference"": ""checkpoint_eval_strict"", ""checkpoint"": ""/Users/lijie/Desktop/work/attack/_archive/2026-04-29_current_only_cleanup/results_legacy/cross_dataset_formal_unsup/swat_tcn/20260419_143521/ours_ckpt.pt"", ""score_mode"": ""prob"", ""score_alpha"": 0.24, ""disc_pooling"": ""attn""}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset swat --baselines ours --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --target-fprs 0.05 0.15 --device auto,checkpoint-based Ours evaluation; scaler fit/model train/calibration remain strict-no-leakage in dataset pipeline
