dataset,method,split_source,train_spec,test_spec,window_size,stride,anomaly_ratio_threshold,independent_calibration,calib_ratio,scaler_fit_source,model_training_source,threshold_calibration_source,target_fpr,threshold,observed_test_benign_fpr,fp_over_test_benign,precision,recall,f1,auc,ap,tp,fp,tn,fn,train_seconds,inference_seconds,windows_per_second,random_seed,baseline_hyperparameters,command_line,notes
cicids2017,IsolationForest,explicit_cicids_train_test + strict_independent_calibration,Tuesday-WorkingHours.pcap_ISCX.csv;Wednesday-workingHours.pcap_ISCX.csv;Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv;Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Friday-WorkingHours-Morning.pcap_ISCX.csv;Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv;Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.25,-0.043220145627856255,0.3839352674166173,9727/25335,0.42039089500655463,0.38007757784721474,0.39921910366631885,0.4053263597818326,0.5042780108230971,7055,9727,15608,11507,7.3319575829664245,4.291563707985915,10228.672574128326,42,"{""contamination"": 0.1, ""n_estimators"": 100}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset cicids2017 --data-dir /Users/lijie/Desktop/work/attack/dataset/CICIDS2017 --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.25 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
cicids2017,OneClassSVM,explicit_cicids_train_test + strict_independent_calibration,Tuesday-WorkingHours.pcap_ISCX.csv;Wednesday-workingHours.pcap_ISCX.csv;Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv;Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Friday-WorkingHours-Morning.pcap_ISCX.csv;Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv;Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.25,-6.945833683013916,0.3406354845075982,8630/25335,0.5172298053255762,0.49811442732464173,0.5074921784944779,0.6043330054991803,0.448684733987179,9246,8630,16705,9316,0.6681157910497859,4.508462957921438,9736.577722762988,42,"{""nu"": 0.1, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""max_samples"": 10000, ""pca_components"": 100, ""sampled_train_windows"": 10000, ""pca_used"": true}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset cicids2017 --data-dir /Users/lijie/Desktop/work/attack/dataset/CICIDS2017 --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.25 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
cicids2017,MLP (Window),explicit_cicids_train_test + strict_independent_calibration,Tuesday-WorkingHours.pcap_ISCX.csv;Wednesday-workingHours.pcap_ISCX.csv;Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv;Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Friday-WorkingHours-Morning.pcap_ISCX.csv;Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv;Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.25,1.0369273795163281e-07,0.36633116242352476,9281/25335,0.5908209152632043,0.7219588406421722,0.6498399767233921,0.7499363225165074,0.8312035463401923,13401,9281,16054,5161,1216.7420440830756,14.466970875044353,3034.291032943371,42,"{""hidden_layer_sizes"": [256, 128, 64], ""max_iter"": 100, ""train_files"": [""Tuesday-WorkingHours.pcap_ISCX.csv"", ""Wednesday-workingHours.pcap_ISCX.csv"", ""Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv"", ""Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv""], ""test_files_for_feature_alignment"": [""Friday-WorkingHours-Morning.pcap_ISCX.csv"", ""Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv"", ""Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv""], ""n_supervised_train_windows"": 99699, ""supervised_train_anomaly_ratio"": 0.18231877952637437, ""feature_dim"": 78, ""supervised_train_windows"": 99699}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset cicids2017 --data-dir /Users/lijie/Desktop/work/attack/dataset/CICIDS2017 --baselines mlp --target-fprs 0.25 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,supervised training uses train split window labels only; scaler fit on model_train_benign only; threshold calibrated on independent_calibration_benign
cicids2017,GANomaly,explicit_cicids_train_test + strict_independent_calibration,Tuesday-WorkingHours.pcap_ISCX.csv;Wednesday-workingHours.pcap_ISCX.csv;Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv;Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Friday-WorkingHours-Morning.pcap_ISCX.csv;Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv;Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.25,0.008739462587982416,0.08932307085060194,2263/25335,0.8716028368794326,0.8276047839672449,0.8490341835460778,0.9338218587445842,0.8659540565872299,15362,2263,23072,3200,202.21638679201715,10.286400999990292,4267.478975400767,42,"{""latent_dim"": 64, ""epochs"": 30, ""batch_size"": 256, ""lr"": 0.001}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset cicids2017 --data-dir /Users/lijie/Desktop/work/attack/dataset/CICIDS2017 --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.25 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
cicids2017,TranAD,explicit_cicids_train_test + strict_independent_calibration,Tuesday-WorkingHours.pcap_ISCX.csv;Wednesday-workingHours.pcap_ISCX.csv;Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv;Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Friday-WorkingHours-Morning.pcap_ISCX.csv;Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv;Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.25,0.00010727178960223682,0.08636273929346754,2188/25335,0.8428273830902951,0.6320978342850986,0.72240864452126,0.8431218185313671,0.7984221546525534,11733,2188,23147,6829,837.8412303749938,13.107197083998471,3349.076062462686,42,"{""d_model"": 64, ""nhead"": 4, ""num_layers"": 2, ""epochs"": 30, ""batch_size"": 256, ""lr"": 0.001}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset cicids2017 --data-dir /Users/lijie/Desktop/work/attack/dataset/CICIDS2017 --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.25 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
cicids2017,Ours,explicit_cicids_train_test + strict_independent_calibration,Tuesday-WorkingHours.pcap_ISCX.csv;Wednesday-workingHours.pcap_ISCX.csv;Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv;Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Friday-WorkingHours-Morning.pcap_ISCX.csv;Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv;Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.25,0.42542,0.046023,1166/25335,0.938395,0.956847,0.947531,0.978349,0.96312,17761,1166,24169,801,,,,42,"{""reference"": ""fixed_cicids_selected_operating_point"", ""checkpoint"": ""results/cicids_strict_mps/selected_epoch_008_main.pt"", ""score_mode"": ""fused"", ""score_alpha"": 0.24}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset cicids2017 --data-dir /Users/lijie/Desktop/work/attack/dataset/CICIDS2017 --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.25 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,fixed reference row from selected strict CICIDS checkpoint
