epoch,d_loss,g_loss,failed_nan
1,-8.848485059004563,-3.360704100590486,False
2,-3.9879934668540953,-5.842917444155766,False
3,-3.3441977583445035,-5.9602876644868115,False
4,-3.3583410024642943,-5.710263762107262,False
5,-3.3714718314317556,-5.493352944117326,False
6,-3.3792113771805394,-5.38536098920382,False
7,-3.371892240414253,-4.849703869452843,False
8,-3.321930819291335,-4.1043874309613155,False
