time_step,attention_weight
0,0.07039064168930054
1,0.08442971110343933
2,0.0637926459312439
3,0.04692975804209709
4,0.013229657895863056
5,0.008529704995453358
6,0.0029723907355219126
7,0.0030849797185510397
8,0.0018449885537847877
9,0.0034668196458369493
10,0.002980578690767288
11,0.00786958634853363
12,0.004596325568854809
13,0.009287421591579914
14,0.004304030444473028
15,0.008379489183425903
16,0.00464494526386261
17,0.006556650623679161
18,0.0046739885583519936
19,0.005835607182234526
20,0.0048288619145751
21,0.007501994725316763
22,0.005371699575334787
23,0.008840473368763924
24,0.0051559931598603725
25,0.008983800187706947
26,0.004968725610524416
27,0.008632081560790539
28,0.005370903294533491
29,0.007285440340638161
30,0.0052667041309177876
31,0.006326387170702219
32,0.005432073958218098
33,0.005331851541996002
34,0.005681673064827919
35,0.006679804529994726
36,0.010673358105123043
37,0.009433631785213947
38,0.011645077727735043
39,0.006628544069826603
40,0.00616066250950098
41,0.0028817090205848217
42,0.0022255766671150923
43,0.0014203761238604784
44,0.001094935112632811
45,0.0008569918572902679
46,0.0006775550427846611
47,0.0005801811348646879
48,0.0009412703802809119
49,0.000929345260374248
50,0.002458542352542281
51,0.002244020579382777
52,0.00572394672781229
53,0.004420827142894268
54,0.008419767022132874
55,0.005281431600451469
56,0.007922482676804066
57,0.004809600301086903
58,0.00720217265188694
59,0.0047813598066568375
60,0.0070521351881325245
61,0.0051225838251411915
62,0.0069953566417098045
63,0.005280021112412214
64,0.0057520028203725815
65,0.004785255528986454
66,0.005232295487076044
67,0.005055220797657967
68,0.00701094139367342
69,0.005876742769032717
70,0.00941532477736473
71,0.00577290216460824
72,0.007884182967245579
73,0.004850231111049652
74,0.00519283302128315
75,0.004724015016108751
76,0.005607849918305874
77,0.006655655335634947
78,0.006629566662013531
79,0.00717763788998127
80,0.005788779351860285
81,0.00704647321254015
82,0.005247076507657766
83,0.007753918878734112
84,0.005303740035742521
85,0.0071278903633356094
86,0.004903764463961124
87,0.0059784185141325
88,0.004917061422020197
89,0.005468134768307209
90,0.00522711593657732
91,0.006632241420447826
92,0.0056658778339624405
93,0.008217180147767067
94,0.00544373644515872
95,0.009159225970506668
96,0.0052635930478572845
97,0.00806558970361948
98,0.005170282442122698
99,0.007524969056248665
100,0.005627557635307312
101,0.006190467160195112
102,0.0055931867100298405
103,0.0049226307310163975
104,0.005467821378260851
105,0.005061885342001915
106,0.005785225424915552
107,0.008060876280069351
108,0.006388569250702858
109,0.011499704793095589
110,0.005930813495069742
111,0.009024989791214466
112,0.005170198157429695
113,0.005378702189773321
114,0.004794382490217686
115,0.005643907003104687
116,0.006025910843163729
117,0.008578885346651077
118,0.006863761693239212
119,0.007928994484245777
120,0.008339370600879192
121,0.00690061878412962
122,0.011318241246044636
123,0.006077692843973637
124,0.00927975308150053
125,0.004960647784173489
126,0.004319071304053068
127,0.002016443060711026
