k,original_fused_score,ig_masked_fused_score,ig_score_drop,random_masked_fused_score_mean,random_score_drop_mean,threshold,ig_masked_decision,random_masked_decision_mean_or_majority
5,0.5065301656723022,0.5411070585250854,-0.0345768928527832,0.5074583768844605,-0.0009282112121582475,0.42542,alarm,alarm
10,0.5065301656723022,0.41790324449539185,0.0886269211769104,0.5145683526992798,-0.008038187026977561,0.42542,no_alarm,alarm
20,0.5065301656723022,0.4181724786758423,0.08835768699645996,0.5487572193145752,-0.04222705364227297,0.42542,no_alarm,alarm
