time_step,feature_index,feature_name,abs_ig_attribution
1,33,Bwd URG Flags,0.0
1,34,Fwd Header Length,6.579956846053392e-08
1,35,Bwd Header Length,1.8216572073015413e-07
1,36,Fwd Packets/s,1.1640276170510333e-05
1,37,Bwd Packets/s,6.1816704146622214e-06
1,38,Min Packet Length,2.1839425244252197e-05
1,39,Max Packet Length,1.0706080502131954e-05
1,40,Packet Length Mean,3.613864828366786e-05
1,41,Packet Length Std,3.0438821340794675e-05
1,42,Packet Length Variance,8.658244041725993e-06
1,43,FIN Flag Count,6.99815871030296e-07
1,44,SYN Flag Count,7.243114669108763e-05
1,45,RST Flag Count,2.487449535237829e-07
1,46,PSH Flag Count,0.0006211032159626484
1,47,ACK Flag Count,0.0002451037580613047
1,48,URG Flag Count,6.263656541705132e-05
1,49,CWE Flag Count,0.0
1,50,ECE Flag Count,3.694682106925029e-07
1,51,Down/Up Ratio,5.803728413411591e-07
1,52,Average Packet Size,0.00029491662280634046
1,53,Avg Fwd Segment Size,8.936107406043448e-06
1,54,Avg Bwd Segment Size,0.00044824619544669986
1,55,Fwd Header Length.1,2.07577564026451e-08
1,56,Fwd Avg Bytes/Bulk,0.0
1,57,Fwd Avg Packets/Bulk,0.0
1,58,Fwd Avg Bulk Rate,0.0
1,59,Bwd Avg Bytes/Bulk,0.0
1,60,Bwd Avg Packets/Bulk,0.0
1,61,Bwd Avg Bulk Rate,0.0
1,62,Subflow Fwd Packets,1.9746138946175051e-07
1,63,Subflow Fwd Bytes,1.0702002128937238e-07
1,64,Subflow Bwd Packets,3.278046847299265e-07
1,65,Subflow Bwd Bytes,2.0960654012469604e-07
1,66,Init_Win_bytes_forward,2.6899440854322165e-05
1,67,Init_Win_bytes_backward,1.99939440790331e-05
1,68,act_data_pkt_fwd,1.584612618898973e-07
1,69,min_seg_size_forward,3.3978815316970667e-09
1,70,Active Mean,1.1993037105639814e-06
1,71,Active Std,4.271323632565327e-07
1,72,Active Max,6.8163053583703e-06
1,73,Active Min,9.885899210360094e-09
1,74,Idle Mean,3.331444167997688e-05
1,75,Idle Std,4.311848442739574e-06
1,76,Idle Max,1.4395594689631253e-06
1,77,Idle Min,5.707615127903409e-05
2,0,Destination Port,0.00012483935279306024
2,1,Flow Duration,8.681930012244266e-06
2,2,Total Fwd Packets,1.2455858211524173e-07
2,3,Total Backward Packets,1.9529670680640265e-07
2,4,Total Length of Fwd Packets,2.3435451623754489e-07
2,5,Total Length of Bwd Packets,1.3147446509265137e-07
2,6,Fwd Packet Length Max,1.4535142327076755e-05
2,7,Fwd Packet Length Min,5.4180222832656e-06
2,8,Fwd Packet Length Mean,8.293975042761303e-06
2,9,Fwd Packet Length Std,7.836219083401375e-06
2,10,Bwd Packet Length Max,1.8259703438161523e-06
2,11,Bwd Packet Length Min,3.428014451856143e-06
2,12,Bwd Packet Length Mean,3.522917540976778e-05
2,13,Bwd Packet Length Std,7.600708613608731e-06
2,14,Flow Bytes/s,1.4589925285690697e-06
2,15,Flow Packets/s,1.6404130292357877e-05
2,16,Flow IAT Mean,6.229930295376107e-05
2,17,Flow IAT Std,2.4565157218603417e-05
2,18,Flow IAT Max,3.9681195630691946e-05
2,19,Flow IAT Min,1.104642706195591e-06
2,20,Fwd IAT Total,6.971603738747945e-07
2,21,Fwd IAT Mean,3.59615842171479e-05
2,22,Fwd IAT Std,3.6559824820869835e-06
2,23,Fwd IAT Max,5.9977937780786306e-05
2,24,Fwd IAT Min,1.9439577954472043e-05
2,25,Bwd IAT Total,9.181365749100223e-05
2,26,Bwd IAT Mean,1.1739467481675092e-05
2,27,Bwd IAT Std,1.0635084436216857e-05
2,28,Bwd IAT Max,2.0562431018333882e-05
2,29,Bwd IAT Min,7.62056606617989e-06
2,30,Fwd PSH Flags,2.4614234916953137e-06
2,31,Bwd PSH Flags,0.0
2,32,Fwd URG Flags,0.0
2,33,Bwd URG Flags,0.0
2,34,Fwd Header Length,3.3802628252033173e-08
2,35,Bwd Header Length,2.7933197088714223e-07
2,36,Fwd Packets/s,1.58900747919688e-05
2,37,Bwd Packets/s,3.020129497599555e-06
2,38,Min Packet Length,1.1803454071923625e-05
2,39,Max Packet Length,1.2370796866889577e-05
2,40,Packet Length Mean,2.15791101254581e-06
2,41,Packet Length Std,5.453126732390956e-07
2,42,Packet Length Variance,6.484719506261172e-06
2,43,FIN Flag Count,8.660164894536138e-06
2,44,SYN Flag Count,8.968212932813913e-05
2,45,RST Flag Count,2.8055208645128005e-07
2,46,PSH Flag Count,0.00030982375028543174
2,47,ACK Flag Count,4.548826109385118e-05
2,48,URG Flag Count,1.5735067790956236e-05
2,49,CWE Flag Count,0.0
2,50,ECE Flag Count,6.474968472502951e-08
2,51,Down/Up Ratio,1.2254802641109563e-05
2,52,Average Packet Size,2.5816358174779452e-05
2,53,Avg Fwd Segment Size,2.6245681965519907e-06
2,54,Avg Bwd Segment Size,2.795775253616739e-05
2,55,Fwd Header Length.1,2.0233406061720416e-08
2,56,Fwd Avg Bytes/Bulk,0.0
2,57,Fwd Avg Packets/Bulk,0.0
2,58,Fwd Avg Bulk Rate,0.0
2,59,Bwd Avg Bytes/Bulk,0.0
2,60,Bwd Avg Packets/Bulk,0.0
2,61,Bwd Avg Bulk Rate,0.0
2,62,Subflow Fwd Packets,9.905597408987887e-08
2,63,Subflow Fwd Bytes,1.9103264037312329e-07
2,64,Subflow Bwd Packets,1.7888140746435965e-07
2,65,Subflow Bwd Bytes,1.0183258325469069e-07
2,66,Init_Win_bytes_forward,2.5627108698245138e-05
2,67,Init_Win_bytes_backward,1.1008807632606477e-05
2,68,act_data_pkt_fwd,6.2052625260378136e-09
2,69,min_seg_size_forward,2.5712292295310135e-09
2,70,Active Mean,9.702512215881143e-07
2,71,Active Std,6.717398832734034e-07
2,72,Active Max,4.40809344581794e-06
2,73,Active Min,3.7420079479488777e-07
2,74,Idle Mean,4.805642311112024e-05
2,75,Idle Std,4.95465883432189e-06
2,76,Idle Max,1.758194775902666e-05
2,77,Idle Min,0.0001418044266756624
3,0,Destination Port,3.0068478736211546e-05
3,1,Flow Duration,9.72043490037322e-05
3,2,Total Fwd Packets,1.5763160376991436e-07
3,3,Total Backward Packets,9.617848206744384e-08
3,4,Total Length of Fwd Packets,1.1473290584262941e-07
3,5,Total Length of Bwd Packets,8.238840365493161e-08
3,6,Fwd Packet Length Max,8.013079423108138e-06
3,7,Fwd Packet Length Min,1.0684392691473477e-05
3,8,Fwd Packet Length Mean,1.8215514501207508e-05
3,9,Fwd Packet Length Std,1.0876922260649735e-06
3,10,Bwd Packet Length Max,0.00015518671716563404
3,11,Bwd Packet Length Min,1.0831073268491309e-05
3,12,Bwd Packet Length Mean,0.0003320802061352879
3,13,Bwd Packet Length Std,7.689034100621939e-05
3,14,Flow Bytes/s,1.4588448493668693e-06
3,15,Flow Packets/s,1.5964025806169957e-05
3,16,Flow IAT Mean,1.252334641321795e-05
3,17,Flow IAT Std,4.279246240912471e-06
3,18,Flow IAT Max,6.172147550387308e-06
3,19,Flow IAT Min,1.5246140492308768e-06
3,20,Fwd IAT Total,5.3189200116321445e-05
3,21,Fwd IAT Mean,3.397028558538295e-05
3,22,Fwd IAT Std,1.6453161151730455e-05
3,23,Fwd IAT Max,5.174307443667203e-05
3,24,Fwd IAT Min,6.9960033215465955e-06
3,25,Bwd IAT Total,2.7088892238680273e-05
3,26,Bwd IAT Mean,1.487064037064556e-05
3,27,Bwd IAT Std,2.2028706325727399e-07
3,28,Bwd IAT Max,2.247882730443962e-05
3,29,Bwd IAT Min,6.52324933980708e-06
3,30,Fwd PSH Flags,3.284418198745698e-05
3,31,Bwd PSH Flags,0.0
3,32,Fwd URG Flags,0.0
3,33,Bwd URG Flags,0.0
3,34,Fwd Header Length,7.869326879017535e-08
3,35,Bwd Header Length,1.1096982888147977e-07
3,36,Fwd Packets/s,1.7892845789901912e-05
3,37,Bwd Packets/s,5.891487035114551e-06
3,38,Min Packet Length,1.9478704416542314e-05
3,39,Max Packet Length,0.0001457755861338228
3,40,Packet Length Mean,0.0002371427690377459
3,41,Packet Length Std,0.0001515670883236453
3,42,Packet Length Variance,8.326147508341819e-05
3,43,FIN Flag Count,1.149383660958847e-05
3,44,SYN Flag Count,7.272831135196611e-05
3,45,RST Flag Count,1.3988496050387766e-07
3,46,PSH Flag Count,7.030484994174913e-05
3,47,ACK Flag Count,0.0002992094086948782
3,48,URG Flag Count,0.00010077191836899146
3,49,CWE Flag Count,0.0
3,50,ECE Flag Count,4.5845172280678526e-07
3,51,Down/Up Ratio,2.5269344405387528e-05
3,52,Average Packet Size,0.0002768533304333687
3,53,Avg Fwd Segment Size,5.775537829322275e-06
3,54,Avg Bwd Segment Size,2.4503278837073594e-05
3,55,Fwd Header Length.1,4.46391261732515e-08
3,56,Fwd Avg Bytes/Bulk,0.0
3,57,Fwd Avg Packets/Bulk,0.0
3,58,Fwd Avg Bulk Rate,0.0
3,59,Bwd Avg Bytes/Bulk,0.0
3,60,Bwd Avg Packets/Bulk,0.0
3,61,Bwd Avg Bulk Rate,0.0
3,62,Subflow Fwd Packets,9.906442244300706e-08
3,63,Subflow Fwd Bytes,4.046716739480871e-08
3,64,Subflow Bwd Packets,1.1206570604826993e-07
3,65,Subflow Bwd Bytes,6.421085885222055e-08
3,66,Init_Win_bytes_forward,1.33855546664563e-05
3,67,Init_Win_bytes_backward,1.3740875147050247e-05
3,68,act_data_pkt_fwd,6.092520976608284e-08
3,69,min_seg_size_forward,1.1090063763152802e-11
3,70,Active Mean,7.05934212419379e-07
3,71,Active Std,2.9207484431026387e-08
3,72,Active Max,5.683944891643478e-06
3,73,Active Min,6.558568088621541e-08
3,74,Idle Mean,2.8573880626936443e-05
3,75,Idle Std,4.1825078369583935e-06
3,76,Idle Max,3.303180392322247e-06
3,77,Idle Min,5.220000821282156e-05
4,0,Destination Port,0.00010863282659556717
4,1,Flow Duration,7.3770092967606615e-06
4,2,Total Fwd Packets,1.13790477485054e-07
4,3,Total Backward Packets,1.8906048637745698e-07
4,4,Total Length of Fwd Packets,2.2849386027701257e-07
4,5,Total Length of Bwd Packets,1.2359754464341677e-07
4,6,Fwd Packet Length Max,1.5894520402071066e-05
4,7,Fwd Packet Length Min,5.522363608179148e-06
4,8,Fwd Packet Length Mean,3.2097661915031495e-06
4,9,Fwd Packet Length Std,5.0994053708564024e-06
4,10,Bwd Packet Length Max,2.440849584672833e-06
4,11,Bwd Packet Length Min,3.8557377592951525e-06
4,12,Bwd Packet Length Mean,3.5820539778796956e-05
4,13,Bwd Packet Length Std,1.0019175533670932e-06
4,14,Flow Bytes/s,1.353679863314028e-06
4,15,Flow Packets/s,1.5260187865351327e-05
4,16,Flow IAT Mean,6.433905218727887e-05
4,17,Flow IAT Std,2.508684337954037e-05
4,18,Flow IAT Max,4.588249066728167e-05
4,19,Flow IAT Min,1.0834273780346848e-06
4,20,Fwd IAT Total,7.759211939628585e-08
4,21,Fwd IAT Mean,4.067413101438433e-05
4,22,Fwd IAT Std,2.0704935650428524e-06
4,23,Fwd IAT Max,4.363773041404784e-05
4,24,Fwd IAT Min,1.943320057762321e-05
4,25,Bwd IAT Total,8.803333184914663e-05
4,26,Bwd IAT Mean,1.156705002358649e-05
4,27,Bwd IAT Std,1.0835409739229362e-05
4,28,Bwd IAT Max,1.2273322681721766e-05
4,29,Bwd IAT Min,7.5103666858922224e-06
4,30,Fwd PSH Flags,1.6948897609836422e-06
4,31,Bwd PSH Flags,0.0
4,32,Fwd URG Flags,0.0
4,33,Bwd URG Flags,0.0
4,34,Fwd Header Length,1.4738950504522563e-08
4,35,Bwd Header Length,2.369856133555004e-07
4,36,Fwd Packets/s,1.65370583999902e-05
4,37,Bwd Packets/s,3.5937582651968114e-06
4,38,Min Packet Length,8.357234037248418e-06
4,39,Max Packet Length,7.987920980667695e-06
4,40,Packet Length Mean,9.105448043555953e-06
4,41,Packet Length Std,1.3199040040490218e-05
4,42,Packet Length Variance,6.309266154858051e-06
4,43,FIN Flag Count,1.2846860045101494e-05
4,44,SYN Flag Count,8.215785055654123e-05
4,45,RST Flag Count,3.1005797040961625e-07
4,46,PSH Flag Count,0.0003546224907040596
4,47,ACK Flag Count,0.0003373778599780053
4,48,URG Flag Count,3.812231443589553e-05
4,49,CWE Flag Count,0.0
4,50,ECE Flag Count,1.1180372894159518e-07
4,51,Down/Up Ratio,1.0756446499726735e-05
4,52,Average Packet Size,3.2690299121895805e-05
4,53,Avg Fwd Segment Size,6.525472144858213e-07
4,54,Avg Bwd Segment Size,2.7394404241931625e-05
4,55,Fwd Header Length.1,5.097053001890117e-09
4,56,Fwd Avg Bytes/Bulk,0.0
4,57,Fwd Avg Packets/Bulk,0.0
4,58,Fwd Avg Bulk Rate,0.0
4,59,Bwd Avg Bytes/Bulk,0.0
4,60,Bwd Avg Packets/Bulk,0.0
4,61,Bwd Avg Bulk Rate,0.0
4,62,Subflow Fwd Packets,9.371488118858906e-08
4,63,Subflow Fwd Bytes,1.422117179572524e-07
4,64,Subflow Bwd Packets,1.722699778383685e-07
4,65,Subflow Bwd Bytes,9.47579721355396e-08
4,66,Init_Win_bytes_forward,6.75237652103533e-06
4,67,Init_Win_bytes_backward,7.046440259728115e-06
4,68,act_data_pkt_fwd,3.117161995191964e-08
4,69,min_seg_size_forward,3.82165143975044e-09
4,70,Active Mean,7.711747684879811e-07
4,71,Active Std,7.958007017805357e-07
4,72,Active Max,4.222320967528503e-06
4,73,Active Min,3.0612105206273554e-07
4,74,Idle Mean,4.021549102617428e-05
4,75,Idle Std,4.8453557610628195e-06
4,76,Idle Max,1.6245845472440124e-05
4,77,Idle Min,0.00014840762014500797
5,0,Destination Port,4.824781353818253e-05
5,1,Flow Duration,8.917228842619807e-05
5,2,Total Fwd Packets,1.2533710957995936e-07
5,3,Total Backward Packets,7.619942010705927e-08
5,4,Total Length of Fwd Packets,1.433867566902336e-07
5,5,Total Length of Bwd Packets,3.545818572092685e-08
5,6,Fwd Packet Length Max,8.315938430314418e-06
5,7,Fwd Packet Length Min,1.23453637570492e-05
5,8,Fwd Packet Length Mean,1.855251321103424e-05
5,9,Fwd Packet Length Std,1.1017577890015673e-06
5,10,Bwd Packet Length Max,0.00014930771430954337
5,11,Bwd Packet Length Min,1.2708549547824077e-05
5,12,Bwd Packet Length Mean,0.00033566990168765187
5,13,Bwd Packet Length Std,0.00010295878746546805
5,14,Flow Bytes/s,1.344426323157677e-06
