time_step,mean_abs_ig_attribution,normalized_time_importance
0,2.8356667826301418e-05,0.3276596963405609
1,4.9218502681469545e-05,0.5687170624732971
2,1.8916456610895693e-05,0.21857859194278717
3,3.4871958632720634e-05,0.40294352173805237
4,2.2728958356310613e-05,0.2626318335533142
5,3.6174944398226216e-05,0.4179994463920593
6,2.2555526811629534e-05,0.2606278359889984
7,4.1261773731093854e-05,0.47677749395370483
8,2.4394939828198403e-05,0.2818821668624878
9,4.066553447046317e-05,0.46988797187805176
10,2.2874326532473788e-05,0.2643115520477295
11,5.766327740275301e-05,0.6662959456443787
12,2.6134162908419967e-05,0.30197879672050476
13,4.030621857964434e-05,0.4657360911369324
14,2.498122921679169e-05,0.28865671157836914
15,5.93444419791922e-05,0.6857216954231262
16,2.76362661679741e-05,0.3193355202674866
17,3.8583766581723467e-05,0.4458332657814026
18,2.4246139219030738e-05,0.2801627814769745
19,4.3876705603906885e-05,0.5069928765296936
20,2.4870134438970126e-05,0.28737300634384155
21,5.7196633861167356e-05,0.6609039306640625
22,2.6910840460914187e-05,0.3109532594680786
23,4.604682544595562e-05,0.5320684909820557
24,2.48017386184074e-05,0.28658270835876465
25,6.136154115665704e-05,0.7090291976928711
26,2.6580313715385273e-05,0.3071340322494507
27,7.169593300204724e-05,0.8284425139427185
28,2.767509431578219e-05,0.31978416442871094
29,4.844555223826319e-05,0.5597856640815735
30,2.500868504284881e-05,0.28897395730018616
31,7.39953393349424e-05,0.8550119996070862
32,2.665310057636816e-05,0.30797508358955383
33,5.2127270464552566e-05,0.6023277044296265
34,6.107400258770213e-05,0.7057066559791565
35,8.487676677759737e-05,0.9807462692260742
36,8.140358841046691e-05,0.9406139254570007
37,7.44313801988028e-05,0.8600504398345947
38,7.456789171556011e-05,0.8616278171539307
39,8.556673128623515e-05,0.9887188076972961
40,8.40691864141263e-05,0.9714147448539734
41,7.51641346141696e-05,0.8685173988342285
42,7.323124737013131e-05,0.8461829423904419
43,8.654304110677913e-05,1.0
44,4.5791672164341435e-05,0.5291202068328857
45,2.1423888028948568e-05,0.247551828622818
46,4.2036430386360735e-05,0.48572859168052673
47,2.2064505174057558e-05,0.25495412945747375
48,5.3863048378843814e-05,0.6223844885826111
49,2.549392229411751e-05,0.2945808470249176
50,3.888225182890892e-05,0.4492822587490082
51,2.340073297091294e-05,0.27039414644241333
52,5.3956664487486705e-05,0.6234662532806396
53,2.6017291020252742e-05,0.30062833428382874
54,5.9194986533839256e-05,0.6839947700500488
55,2.5825500415521674e-05,0.2984122037887573
56,4.7196546802297235e-05,0.5453534722328186
57,2.5265264412155375e-05,0.2919387221336365
58,6.148164538899437e-05,0.7104169726371765
59,2.5242470655939542e-05,0.291675329208374
60,6.140328332548961e-05,0.7095115184783936
61,2.509135811123997e-05,0.28992924094200134
62,5.394633990363218e-05,0.6233469247817993
63,2.5600529625080526e-05,0.2958126962184906
64,4.3839339923579246e-05,0.5065611004829407
65,2.4182718334486708e-05,0.27942997217178345
66,4.796444045496173e-05,0.5542263984680176
67,2.430014319543261e-05,0.28078678250312805
68,6.121092155808583e-05,0.7072888016700745
69,2.526683601900004e-05,0.2919568717479706
70,6.0260568716330454e-05,0.6963074803352356
71,2.6192939913016744e-05,0.30265796184539795
72,5.019097443437204e-05,0.5799539089202881
73,2.468969796609599e-05,0.2852880656719208
74,4.200128387310542e-05,0.4853224754333496
75,4.489252023631707e-05,0.5187305808067322
76,2.416550887573976e-05,0.27923110127449036
77,5.89916089666076e-05,0.6816447377204895
78,2.684009632503148e-05,0.3101358115673065
79,3.277369251009077e-05,0.3786981701850891
80,2.355605647608172e-05,0.2721889019012451
81,6.085933273425326e-05,0.7032262086868286
82,2.6408028134028427e-05,0.3051432967185974
83,5.8615471061784774e-05,0.6772984862327576
84,2.6987612727680244e-05,0.31184035539627075
85,3.8782025512773544e-05,0.44812414050102234
86,2.3445725673809648e-05,0.2709140479564667
87,5.2351773774717e-05,0.604921817779541
88,2.653043338796124e-05,0.30655768513679504
89,3.48777393810451e-05,0.4030103385448456
90,2.2288555555860512e-05,0.25754302740097046
91,4.7651010390836746e-05,0.5506047606468201
92,2.4936212867032737e-05,0.2881365418434143
93,5.191876334720291e-05,0.5999184250831604
94,2.5843115508905612e-05,0.2986157536506653
95,5.161602166481316e-05,0.5964202284812927
96,2.5334231395390816e-05,0.29273563623428345
97,5.1988783525303006e-05,0.6007274985313416
98,2.5961566279875115e-05,0.2999844551086426
99,6.336528167594224e-05,0.7321822643280029
100,2.7597081498242915e-05,0.3188827335834503
101,4.241827627993189e-05,0.49014079570770264
102,2.3424701794283465e-05,0.27067112922668457
103,4.2415755160618573e-05,0.49011167883872986
104,2.321626197954174e-05,0.2682625949382782
105,4.205756704322994e-05,0.4859728217124939
106,2.222784678451717e-05,0.2568415403366089
107,6.0913062043255195e-05,0.7038470506668091
108,2.6131221602554433e-05,0.3019447922706604
109,6.106027285568416e-05,0.7055480480194092
110,2.625170054670889e-05,0.3033369183540344
111,5.280122422846034e-05,0.6101151704788208
112,2.6378207621746697e-05,0.3047987222671509
113,3.8666592445224524e-05,0.44679030776023865
114,2.3566517484141514e-05,0.2723097801208496
115,7.390521932393312e-05,0.8539706468582153
