time_step,mean_abs_ig_attribution,normalized_time_importance
116,2.5496017769910395e-05,0.2946050465106964
117,7.845443178666756e-05,0.9065365791320801
118,2.3321617845795117e-05,0.26947999000549316
119,6.225978722795844e-05,0.7194083333015442
120,7.839203317416832e-05,0.9058155417442322
121,5.685501673724502e-05,0.6569565534591675
122,3.6498542613117024e-05,0.4217386245727539
123,4.137004361837171e-05,0.4780285358428955
124,2.7138354198541492e-05,0.3135821521282196
125,1.8476814148016274e-05,0.2134985476732254
126,4.591638571582735e-06,0.053056128323078156
127,3.65864320883702e-06,0.04227541759610176
