Dataset,Detector,AUC,AP,Calibration F1,Calibration FPR,Oracle F1,Oracle–Calibration F1 gap,Evidence record available,Main observation
TON_IoT,ganomaly,0.6412395386065205,0.9603843810362771,0.9720456199951467,1.0,0.9781687207507412,0.006123100755594524,yes,high benign false positives under locked calibration threshold
TON_IoT,iforest,0.004119417469668979,0.8376582194632,0.14266923886355662,1.0,0.9720456199951467,0.8293763811315901,yes,large calibration–oracle gap; operating point is sensitive on this dataset
TON_IoT,mlp_ae,0.6009153047525533,0.9308590283338094,0.9720456199951467,1.0,0.9855879382129042,0.013542318217757532,yes,high benign false positives under locked calibration threshold
TON_IoT,tcn_wgan_gp_case,0.3194359931571443,0.9010236721929851,0.9627871325074797,0.8203125,0.9721399796146192,0.009352847107139461,yes,high benign false positives under locked calibration threshold
