method,window_size,stride,auc,ap,target_fpr,calib_f1,calib_recall,calib_precision,calib_threshold,train_benign_fpr,test_benign_fpr,eval_seconds,n_train_windows,n_test_windows
RF (Window),128,16,0.9815930378101005,0.9756079747473985,0.05,0.5033190336419057,0.9992827685135377,0.3363713182037663,0.01,0.052646845540246553,0.835105574965821,5.023810148239136,43743,18743
MLP (Window),128,16,0.5303917377177172,0.3299942232331291,0.05,0.42455621301775154,0.8233817464586696,0.28601681719090627,3.742813099449895e-08,0.05001208605269519,0.8706516785660033,22.50662589073181,43743,18743
