dataset,test_windows,eval_seconds,windows_per_sec,checkpoint_mb,feature_dim,score_mode
CICIDS2017,43897,10.510965791007038,4176.305096298321,1.5592470169067383,77,fused
SWaT,1433,8.092900666000787,177.06877411954392,1.5348548889160156,71,fused
UNSW-NB15,5138,31.482455499994103,163.2020094493888,1.4567298889160156,39,fused
TON_IoT,18743,70.66727062501013,265.2288652756682,1.3857460021972656,10,fused
