method,type,target_fpr,auc,ap,f1,recall,precision,test_fpr,eval_seconds
TCN-GAN,Ours,0.15,0.9463788913506751,0.9351284295554545,0.8783337815038923,0.9678375175088891,0.8039829939583799,0.1728833629366489,10.510965791007038
GANomaly,SOTA,0.15,0.7409215212226574,0.7706306633025732,0.6585371825950684,0.7236962488563586,0.6041423308473358,0.34738211638542815,505.4863700866699
TranAD,SOTA,0.15,0.5660149283427007,0.5786158588639663,0.4849260345796142,0.4181152790484904,0.5771488002377237,0.22441255322504336,1642.513210773468
DeepSVDD,SOTA,0.15,0.47816248677954115,0.46643842564062565,0.34623829885588814,0.241859964479845,0.6091081593927894,0.11370446301845134,134.0769078731537
