rank,feature,ig_abs_mean,shap_abs_mean
1,PSH Flag Count,0.0009272426832467318,0.0007927989936433733
2,ACK Flag Count,0.0005550780333578587,0.0007836212171241641
3,Fwd Header Length,0.0007931458530947566,8.973411477850718e-14
4,min_seg_size_forward,0.0006827059551142156,3.500388049077277e-14
5,Bwd Packet Length Std,0.00044766379869543016,0.0001450583804398775
6,Fwd Header Length.1,0.000589061644859612,1.007440590910895e-13
7,Bwd Header Length,0.0004791478277184069,9.442405191073533e-12
8,Bwd Packet Length Mean,0.00032804248621687293,9.12081595743075e-05
