disc_pooling,gan_loss,target_fpr,auc,ap,calib_f1,calib_recall,calib_precision,test_benign_fpr
mean,vanilla,0.05,0.9469153830004308,0.9289104171454587,0.8258218695420811,0.7260532270229502,0.9573772820913545,0.023682652457075192
attn,wgan-gp,0.05,0.9463788913506751,0.9351284295554545,0.7957516867348393,0.6639909492511583,0.9927507047925894,0.003552397868561279
mean,wgan-gp,0.05,0.825299828329902,0.821794686097431,0.6176006584809146,0.48507703911216465,0.8497546243865608,0.06283797118610618
attn,vanilla,0.05,0.8367473846364332,0.6871814009966162,0.4807032289692165,0.36973386488524945,0.6868494795836668,0.12350503256364713
