target_fpr,n_seeds,auc_mean_std,ap_mean_std,f1_mean_std,recall_mean_std,precision_mean_std,test_fpr_mean_std
0.05,5,0.9042 ± 0.0413,0.8705 ± 0.0615,0.6253 ± 0.2071,0.4923 ± 0.1986,0.9020 ± 0.1350,0.0273 ± 0.0278
0.15,5,0.9042 ± 0.0413,0.8705 ± 0.0615,0.8117 ± 0.0767,0.8404 ± 0.1323,0.7898 ± 0.0294,0.1615 ± 0.0128
