seed,target_fpr,auc,ap,f1,recall,precision,test_fpr
42,0.05,0.9463788913506751,0.9351284295554545,0.7957516867348393,0.6639909492511583,0.9927507047925894,0.003552397868561279
43,0.05,0.8997302858642792,0.815637187189018,0.2856295543124924,0.18160758538950544,0.6685838952796508,0.06595618709295441
44,0.05,0.8722062962062059,0.8757826930649638,0.7496507218410552,0.6070466544553389,0.9798260869565216,0.009157292283402408
45,0.05,0.8568015709416245,0.8006393805012215,0.72080758404197,0.6000969723090184,0.9023086269744834,0.047602131438721135
46,0.05,0.9459105671747745,0.9254046514778322,0.5747274379159965,0.4089537765327012,0.966513878278584,0.010380895993684625
42,0.15,0.9463788913506751,0.9351284295554545,0.8783337815038923,0.9678375175088891,0.8039829939583799,0.1728833629366489
43,0.15,0.8997302858642792,0.815637187189018,0.8438235755763328,0.8688718888050857,0.8201790073230268,0.1395697651470298
44,0.15,0.8722062962062059,0.8757826930649638,0.7309789447189035,0.7041805839887944,0.7598976803674204,0.16301559107953423
45,0.15,0.8568015709416245,0.8006393805012215,0.7271963950847256,0.6998707035879754,0.7567425875225724,0.16483126110124333
46,0.15,0.9459105671747745,0.9254046514778322,0.8781279988184305,0.9613188234026506,0.8081887766656098,0.1671600552595224
