dataset,method,type,target_fpr,auc,ap,f1,recall,precision,test_fpr,eval_seconds
UNSW-NB15,IsolationForest,Unsupervised,0.15,0.832723597423475,0.8430233484191584,0.8272096797993213,0.9855836849507735,0.7126875158911772,0.4925893635571055,0.19411373138427734
UNSW-NB15,TranAD,SOTA,0.15,0.8467013869729263,0.8666048155144752,0.817841547099189,0.9219409282700421,0.7348654708520179,0.41238012205754143,56.33849382400513
UNSW-NB15,DeepSVDD,SOTA,0.15,0.7333769559678094,0.7046700705686921,0.8176572417772647,0.9964838255977496,0.6932485322896281,0.5466434176111595,2.3057661056518555
UNSW-NB15,GANomaly,SOTA,0.15,0.9702897057939932,0.9721415476869842,0.7612799571562459,0.999648382559775,0.6147027027027027,0.7768090671316478,3.7886228561401367
UNSW-NB15,TCN-GAN,Ours,0.15,0.8017038577981821,0.7548762246796237,0.7928428196817532,0.90365682137834,0.7062379774663368,0.4659982563208368,641.6822314169985
UNSW-NB15,LSTM-AE,Deep,0.15,0.7963780951224806,0.824878990899084,0.7205316544246241,0.7243319268635724,0.7167710508002784,0.3548387096774194,40.40837383270264
UNSW-NB15,OneClassSVM,Unsupervised,0.15,0.7575628405048577,0.8197409200102974,0.6177853783668235,0.5080872011251758,0.7878953107960741,0.16957279860505667,1.0507378578186035
UNSW-NB15,LSTM-AD,Deep,0.15,0.6723250404344728,0.69757558806989,0.5546364823683065,0.4479606188466948,0.728,0.2074978204010462,19.345092296600342
