scenario,sigma,f1,recall,precision,test_fpr
Clean,0.0,0.7552333484362957,0.6944999999999999,0.8276067527308837,0.14466666666666664
Noise 1%,0.01,0.7595856805373923,0.6966666666666665,0.8349980023971233,0.13766666666666666
Noise 3%,0.03,0.7710403939085041,0.7046666666666666,0.8512180390577812,0.12316666666666665
Noise 5%,0.05,0.7865798516905869,0.7248333333333332,0.8598260181890074,0.11816666666666664
