method,type,target_fpr,auc,ap,f1,recall,precision,test_fpr,eval_seconds
TCN-GAN,Ours,0.05,0.9463788913506751,0.9351284295554545,0.7957516867348393,0.6639909492511583,0.9927507047925894,0.003552397868561279,16.103656457999023
GANomaly,SOTA,0.05,0.7409215212226574,0.7706306633025732,0.7223269151986891,0.7116947419406922,0.7332815792392148,0.18963885822425486,505.4863700866699
TranAD,SOTA,0.05,0.5660149283427007,0.5786158588639663,0.4919379898491179,0.3834024003013831,0.6861876324407629,0.1284497713294433,1642.513210773468
DeepSVDD,SOTA,0.05,0.47816248677954115,0.46643842564062565,0.029139614539133996,0.015338248748721812,0.29081632653061223,0.027401040845292542,134.0769078731537
