detector,n_calibration,n_test,all_calibration_benign,beta,oracle_f1,max_metric_abs_error,threshold_saved,threshold_abs_error,auc,ap,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
ganomaly,2607,21181,True,0.25,0.9781687207507412,1.1102230246251565e-16,0.009470704942941666,0.0,0.6412395386065206,0.9603843810362772,0.9456116330673717,1.0,0.9720456199951468,1.0,0.009470704942941666,20029,1152,0,0
iforest,2607,21181,True,0.25,0.9720456199951468,1.1102230246251565e-16,0.16178879886865616,7.450580596923828e-09,0.00411941746966898,0.8376582194632,0.58546239654552,0.08123221329072844,0.14266923886355665,1.0,0.16178879141807556,1627,1152,0,18402
mlp_ae,2607,21181,True,0.25,0.9855879382129044,2.220446049250313e-16,0.0,0.0,0.6009153047525531,0.9308590283338094,0.9456116330673717,1.0,0.9720456199951468,1.0,0.0,20029,1152,0,0
tcn_wgan_gp_case,2607,21181,True,0.25,0.9721399796146192,1.1102230246251565e-16,0.267269492149353,0.0,0.3194359931571444,0.901023672192985,0.9537082394435191,0.9720405412152379,0.9627871325074797,0.8203125,0.267269492149353,19469,945,207,560
