alpha,auc,ap,precision,recall,f1,fpr
0.0,0.90371818706799,0.7645119911399465,0.841612141441653,0.8721797220127142,0.8564911843488154,0.12093151766331163
0.24,0.9132095218756733,0.804703594714044,0.8438114188713778,0.8126925977804117,0.8261589695459186,0.1104558910597987
1.0,0.7087541372927414,0.6660265936870982,0.6606862912340127,0.39403081564486586,0.49043079269694195,0.11100059206631144
