strategy,threshold,precision,recall,f1,fpr
calibration,0.17357270419597626,0.8438114188713778,0.8126925977804117,0.8261589695459186,0.1104558910597987
oracle,0.14764681309461594,0.8351155197602917,0.9183385411054843,0.8727911900109568,0.13608052101835405
