Model,Parameter Count,Training time (s),Inference time (s),Windows/s,F1,AUC
TCN-GAN,404816,397.7688±5.8584,19.8602±1.1458,3053.2588±164.1105,0.7876±0.0895,0.8947±0.0588
TCN-WGAN-GP,404816,4525.4200±1051.8850,31.9215±10.3301,2094.4384±771.9270,0.8262±0.0450,0.9132±0.0295
