model,AUC,AP,Precision,Recall,F1,Test FPR,Threshold,Training time (s),Inference time (s)
TCN-GAN,0.8947±0.0588,0.8165±0.1127,0.8270±0.0644,0.7551±0.1173,0.7876±0.0895,0.1141±0.0429,0.2647±0.1155,397.7688±5.8584,19.8602±1.1458
TCN-WGAN-GP,0.9132±0.0295,0.8047±0.0937,0.8438±0.0192,0.8127±0.0822,0.8262±0.0450,0.1105±0.0182,0.1736±0.0638,4525.4200±1051.8850,31.9215±10.3301
