method,window_size,stride,score_mode,score_alpha,target_fpr,auc,ap,calib_f1,calib_recall,calib_precision,calib_threshold,train_benign_fpr,test_benign_fpr,eval_seconds,json
TCN-GAN (attn+wgan-gp),128,16,fused,0.24,0.01,0.9463788913506751,0.9351284295554545,0.38992674786497084,0.24232302553604138,0.9975604346861829,0.6570660471916199,0.01,0.0004341819617130452,20.817257208997034,attack/results/final_experiments/20260414_132416/tcn_fpr_sweep/eval_w128_s16_fused_fpr0p010.json
TCN-GAN (attn+wgan-gp),128,16,fused,0.24,0.03,0.9463788913506751,0.9351284295554545,0.5787360935883021,0.40776855942247603,0.9965766951942066,0.5999131202697754,0.03,0.001026248273139925,11.7985872499994,attack/results/final_experiments/20260414_132416/tcn_fpr_sweep/eval_w128_s16_fused_fpr0p030.json
TCN-GAN (attn+wgan-gp),128,16,fused,0.24,0.05,0.9463788913506751,0.9351284295554545,0.7957516867348393,0.6639909492511583,0.9927507047925894,0.5039418339729309,0.05,0.003552397868561279,16.103656457999023,attack/results/final_experiments/20260414_132416/tcn_fpr_sweep/eval_w128_s16_fused_fpr0p050.json
TCN-GAN (attn+wgan-gp),128,16,fused,0.24,0.1,0.9463788913506751,0.9351284295554545,0.7598906632134282,0.7113996336601659,0.8154758228864323,0.3176274597644806,0.1,0.11793960923623446,15.084993291995488,attack/results/final_experiments/20260414_132416/tcn_fpr_sweep/eval_w128_s16_fused_fpr0p100.json
TCN-GAN (attn+wgan-gp),128,16,fused,0.24,0.15,0.9463788913506751,0.9351284295554545,0.8783337815038923,0.9678375175088891,0.8039829939583799,0.24550701677799225,0.15,0.1728833629366489,10.510965791007038,attack/results/final_experiments/20260414_132416/tcn_fpr_sweep/eval_w128_s16_fused_fpr0p150.json
TCN-GAN (attn+wgan-gp),128,16,fused,0.24,0.2,0.9463788913506751,0.9351284295554545,0.8570553448149073,0.9798513091261718,0.7616096478371928,0.20506003499031067,0.2,0.22470890073021513,9.952452875004383,attack/results/final_experiments/20260414_132416/tcn_fpr_sweep/eval_w128_s16_fused_fpr0p200.json
TCN-GAN (attn+wgan-gp),128,16,fused,0.24,0.3,0.9463788913506751,0.9351284295554545,0.8003153952291646,0.9842689365370111,0.6742941502122163,0.15505598485469818,0.3,0.34833234655614764,10.361381791997701,attack/results/final_experiments/20260414_132416/tcn_fpr_sweep/eval_w128_s16_fused_fpr0p300.json
