method,window_size,stride,auc,ap,target_fpr,calib_f1,calib_recall,calib_precision,calib_threshold,train_benign_fpr,test_benign_fpr,eval_seconds,n_train_windows,n_test_windows
RF (Window),128,16,0.954416554357592,0.9630590429621901,0.05,0.6383763837638377,0.9505494505494505,0.48055555555555557,0.01,0.06485849056603774,0.6615566037735849,0.22042202949523926,1393,1394
MLP (Window),128,16,0.8164880520422972,0.8531246594998607,0.05,0.5775962660443407,0.9065934065934066,0.4238013698630137,2.0932178490529167e-10,0.05070754716981132,0.7936320754716981,2.075533866882324,1393,1394
