target_fpr,threshold,observed_test_benign_fpr,FP/Test Benign,precision,recall,F1,AUC,AP,TP,FP,TN,FN,checkpoint_path,dataset,window_size,stride,anomaly_ratio_threshold,score_mode,alpha,strict_no_leakage,independent_calibration,calib_ratio,scaler_fit_source,model_train_source,threshold_calibration_source,TAD_reference_source,selected_device
0.01,0.6452070593833921,0.07586343003749753,1922/25335,0.7802926383173295,0.3677405451998707,0.49989015012772275,0.9024989193933922,0.7944077715893414,6826,1922,23413,11736,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/latest.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
0.05,0.576391726732254,0.07831063745806197,1984/25335,0.781497797356828,0.38228639155263444,0.5134216048038421,0.9024989193933922,0.7944077715893414,7096,1984,23351,11466,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/latest.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
0.1,0.5506197810173035,0.07906058811920269,2003/25335,0.7928216797683076,0.4129404159034587,0.5430393198720257,0.9024989193933922,0.7944077715893414,7665,2003,23332,10897,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/latest.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
0.15,0.5113950669765472,0.08056048944148411,2041/25335,0.8553303090445137,0.6500915849585174,0.7387205387200478,0.9024989193933922,0.7944077715893414,12067,2041,23294,6495,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/latest.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
0.2,0.4863460063934326,0.08154726662719558,2066/25335,0.8608660515859653,0.6886650145458464,0.7651970907779923,0.9024989193933922,0.7944077715893414,12783,2066,23269,5779,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/latest.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
