alpha,auc,ap,calib_threshold,calib_precision,calib_recall,calib_f1,calib_fpr,test_benign_fpr
0.0,0.9373019840356229,0.9106728316239691,0.4889542758464813,0.9186793707068468,0.6700786553173149,0.774929129933159,0.04345766725873298,0.04345766725873298
0.02,0.9394297418790343,0.9176873164144439,0.4912247359752655,0.9293783197426497,0.6692705527421614,0.7781640514887549,0.03726070653246497,0.03726070653246497
0.04,0.941113788093762,0.9226915311002538,0.4922996461391449,0.9399878916300892,0.6691628057321409,0.7817849949642673,0.03130057233076771,0.03130057233076771
0.06,0.9424608298578172,0.926445300274923,0.49251240491867065,0.9509361864730607,0.6703480228423662,0.786362056434564,0.025340438129070456,0.025340438129070456
0.08,0.9434688598063398,0.9289892279920999,0.49478188157081604,0.9593508500772796,0.6687856911970693,0.7881404355274189,0.02076179198736925,0.02076179198736925
0.1,0.9442990370156166,0.9309913107035304,0.4959827661514282,0.967774656679151,0.6681930826419566,0.79055389126091,0.016301559107953424,0.016301559107953424
0.12,0.9449981847595204,0.9326486124056241,0.4988460838794708,0.9767148156918461,0.6666307509966598,0.7924177900158477,0.011643970791395303,0.011643970791395303
0.14,0.9454523042773011,0.9335904526083763,0.500646710395813,0.9828903390100269,0.6653916603814244,0.7935620663063805,0.008486283797118611,0.008486283797118611
0.16,0.9457898360865384,0.9342416851203407,0.5021742582321167,0.9878234398782343,0.6643141902812197,0.7943952327262062,0.005999605289125715,0.005999605289125715
0.18,0.9460171839788384,0.9346321129335682,0.5032446980476379,0.9907489341163219,0.6635060877060661,0.7947601071204823,0.0045391750542727455,0.0045391750542727455
0.2,0.9461637173607311,0.9348532186861136,0.5041781663894653,0.9922555663117133,0.6626441116259024,0.7946249757731485,0.0037892243931320307,0.0037892243931320307
0.22,0.9462704638779903,0.9349936773400913,0.5050368309020996,0.9927307971892414,0.6621592500808102,0.7944284652420626,0.003552397868561279,0.003552397868561279
0.24,0.9463788913506751,0.9351284295554545,0.5039418339729309,0.9927507047925894,0.6639909492511583,0.7957516867348393,0.003552397868561279,0.003552397868561279
0.26,0.946453683766502,0.9351900848833252,0.5050157904624939,0.9924963692109083,0.6626979851309126,0.7947409225993388,0.0036708111308466546,0.0036708111308466546
0.28,0.9465102684899408,0.9352099944433159,0.5048651695251465,0.9928167877320418,0.6626979851309126,0.7948436288441825,0.0035129267811328203,0.0035129267811328203
0.3,0.9465554023026047,0.9352051961997927,0.505298376083374,0.9924077215087633,0.6619437560607693,0.794169925346125,0.0037102822182751133,0.0037102822182751133
0.32,0.9465916018531296,0.9351870848113688,0.5058429837226868,0.9923170238576626,0.6610279064755953,0.793481423997968,0.003749753305703572,0.003749753305703572
0.34,0.9466276387305483,0.9351632911801191,0.5067050457000732,0.9919727560204329,0.6590884602952268,0.791972811134008,0.003907637655417406,0.003907637655417406
0.36,0.946687860739573,0.9351672822490024,0.5084851384162903,0.9915122827062759,0.6545092123693568,0.7885120882682213,0.0041049930925597,0.0041049930925597
0.38,0.9467488865451201,0.9351711144792927,0.5105145573616028,0.9913580246913579,0.6489063678482923,0.7843839541542494,0.0041444641799881585,0.0041444641799881585
0.4,0.9468299455967973,0.9352007174207105,0.5127391815185547,0.9910624791179418,0.6392091369464498,0.7771664374135535,0.004223406354845076,0.004223406354845076
0.42,0.9469093768541944,0.93523003855839,0.5151078701019287,0.990663811563169,0.6231009589483891,0.7650229850840249,0.004302348529701993,0.004302348529701993
0.44,0.946997249038299,0.9352716343944653,0.516176700592041,0.9899912967798083,0.6128111194914341,0.7570211633164449,0.0045391750542727455,0.0045391750542727455
0.46,0.9470970261293623,0.9353326442028258,0.5170894861221313,0.9898562229866806,0.6045684732248681,0.7506605572088003,0.0045391750542727455,0.0045391750542727455
0.48,0.9472078671180599,0.9354114554518314,0.5201497077941895,0.9894630749496058,0.5817799806055381,0.7327317139362955,0.0045391750542727455,0.0045391750542727455
0.5,0.947327586018083,0.9355033654131462,0.5216882824897766,0.9891395936710045,0.569173580433143,0.7225660841906247,0.004578646141701204,0.004578646141701204
0.52,0.9474502011373209,0.9355954575593527,0.5245416760444641,0.9884286269933876,0.5476241784290486,0.7047770921440325,0.00469705940398658,0.00469705940398658
0.54,0.9476010363191206,0.9357230511497915,0.527305543422699,0.988188188188188,0.5318392414610494,0.6915102269538739,0.0046575883165581216,0.0046575883165581216
0.56,0.9477665684312488,0.9358666834245976,0.5289489030838013,0.987854664217187,0.5214416549940739,0.6825811001405915,0.00469705940398658,0.00469705940398658
0.58,0.9479601207200307,0.9360427978540826,0.5314602255821228,0.9874908787657665,0.5103437129619653,0.6729177765934061,0.004736530491415038,0.004736530491415038
0.6,0.9481770713554628,0.9362455225270974,0.5344030857086182,0.9870532848277336,0.4969830837194268,0.6611007596383677,0.004776001578843497,0.004776001578843497
0.62,0.9484156266804903,0.9364746685258474,0.5371610522270203,0.9867860653052307,0.4868009912724922,0.6519715718455837,0.004776001578843497,0.004776001578843497
0.64,0.9486752455146505,0.9367368907472201,0.5402579307556152,0.986394557823129,0.4765111518155371,0.6425950815499256,0.0048154726662719555,0.0048154726662719555
0.66,0.9489348101244425,0.9370039319157711,0.5428390502929688,0.9859744372808503,0.46961534317422693,0.6362077144833784,0.004894414841128873,0.004894414841128873
0.68,0.949269486116935,0.9373620310455427,0.5457239747047424,0.9856733524355299,0.4633121430880293,0.6303367904125821,0.0049338859285573316,0.0049338859285573316
0.7,0.9496413695952737,0.9377640176535799,0.5486608743667603,0.9855156431054459,0.4581941601120569,0.6255516328327528,0.0049338859285573316,0.0049338859285573316
0.72,0.9500652861397603,0.9382292410366007,0.5510457158088684,0.985079846135913,0.45528499084150414,0.6227478722224039,0.005052299190842708,0.005052299190842708
0.74,0.9505704467367104,0.9387943025365246,0.5535288453102112,0.9848431441663728,0.45156771899579784,0.6192147157680467,0.005091770278271166,0.005091770278271166
0.76,0.951144235183037,0.939432845829069,0.5564040541648865,0.9845880260818018,0.4474194591100097,0.6152535466899433,0.005131241365699625,0.005131241365699625
0.78,0.9518712478730492,0.9402461732748834,0.5591305494308472,0.9841496841854366,0.4448874043745286,0.6127703780650926,0.005249654627985001,0.005249654627985001
